Category	Term	Count	GeneRatio	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
1	GO:0033077~T cell differentiation in thymus	5	7.8125	4.736409278829846E-6	MAFB, BCL2, RABL3, ZBTB1, MR1	57	39	19414	43.66621682411156	0.0024788070111432248	0.002481878462106839	0.0024676692342703497
2	GO:0002181~cytoplasmic translation	5	7.8125	1.319313729933552E-4	RPS16, RPL32, RPL22L1, RPS27A, RPS12	57	90	19414	18.922027290448344	0.0668008038182446	0.034566019724259066	0.03436812266476903
3	GO:0000398~mRNA splicing, via spliceosome	6	9.375	2.507089381237673E-4	PRPF38B, U2AF2, SNRPB2, SRSF5, SRSF6, HNRNPA1L2	57	196	19414	10.42642320085929	0.12312248003911275	0.04379049452561802	0.04353978558749425
4	GO:0006412~translation	6	9.375	4.352139908647503E-4	RPS16, RPL32, RPL22L1, RPS27A, MRPL33, RPS12	57	221	19414	9.246963562753036	0.20395675868683172	0.05701303280328229	0.05668662231013373
5	GO:0045444~fat cell differentiation	4	6.25	0.0015959955418548388	STEAP4, MAFB, CEBPD, BBS4	57	80	19414	17.029824561403508	0.5669792980970001	0.1672603327863871	0.1663027354612742
6	GO:0030183~B cell differentiation	4	6.25	0.0022361686660275467	TPD52, KLF6, RABL3, ZBTB1	57	90	19414	15.137621832358674	0.6905827085470255	0.19529206349973907	0.1941739791667253
7	GO:0006397~mRNA processing	5	7.8125	0.004353431507049399	PRPF38B, PPP4R2, U2AF2, SRSF5, HNRNPA1L2	57	230	19414	7.4042715484363075	0.898345766111474	0.32588544424198357	0.3240196878818195
8	GO:0048538~thymus development	3	4.6875	0.008129199853006043	MAFB, BCL2, ZBTB1	57	47	19414	21.74020156774916	0.9861172624092153	0.5324625903718958	0.5294141404270185
9	GO:0015677~copper ion import	2	3.125	0.020020790002814606	STEAP4, STEAP2	57	7	19414	97.31328320802004	0.9999750175015315	1.0	0.9961759082217974
10	GO:0008380~RNA splicing	4	6.25	0.022449833723550604	PRPF38B, PPP4R2, U2AF2, HNRNPA1L2	57	209	19414	6.518593133551582	0.9999931944339161	1.0	0.9961759082217974
11	GO:0014909~smooth muscle cell migration	2	3.125	0.02848012588256635	BCL2, ARPC5	57	10	19414	68.11929824561403	0.9999997341203014	1.0	0.9961759082217974
12	GO:0033120~positive regulation of RNA splicing	2	3.125	0.03964776466107603	U2AF2, SRSF5	57	14	19414	48.65664160401002	0.9999999993782597	1.0	0.9961759082217974
