Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0033077~T cell differentiation in thymus	5	7.8125	4.736409278829846E-6	MAFB, BCL2, RABL3, ZBTB1, MR1	57	39	19414	43.66621682411156	0.002483531679777551	0.002481878462106839	0.0024676692342703497
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	27	42.1875	1.5232142760355352E-5	DLX1, ACADVL, STEAP4, CEBPD, ADH1C, ZBTB1, ZBTB21, SDAD1, HINT1, RPS16, PPP4R2, U2AF2, SNRPB2, RPS27A, RPS12, CBX4, YIPF5, HAUS3, OPRK1, NFKBIA, CCNA2, KLF6, ESRP2, BCL2, SRSF5, SRSF6, SGK1	60	4031	20624	2.302356735301414	0.002343018687320897	0.0023457499850947244	0.0023457499850947244
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	5	7.8125	1.319313729933552E-4	RPS16, RPL32, RPL22L1, RPS27A, RPS12	57	90	19414	18.922027290448344	0.06692392206947317	0.034566019724259066	0.03436812266476903
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	6	9.375	2.4288157378052265E-4	RPS16, RPL32, RPL22L1, RPS27A, MRPL33, RPS12	57	190	18945	10.49584487534626	0.033905257588891624	0.03473206505061474	0.03473206505061474
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	6	9.375	2.507089381237673E-4	PRPF38B, U2AF2, SNRPB2, SRSF5, SRSF6, HNRNPA1L2	57	196	19414	10.42642320085929	0.12334232107100673	0.04379049452561802	0.04353978558749425
GOTERM_BP_DIRECT	GO:0006412~translation	6	9.375	4.352139908647503E-4	RPS16, RPL32, RPL22L1, RPS27A, MRPL33, RPS12	57	221	19414	9.246963562753036	0.20430320784278455	0.05701303280328229	0.05668662231013373
GOTERM_CC_DIRECT	GO:0016607~nuclear speck	7	10.9375	0.001490862324627329	CBX4, ABHD17A, U2AF2, SNRPB2, SRSF5, SGK1, SRSF6	60	435	20624	5.531340996168583	0.205278955967111	0.10541431272242467	0.10541431272242467
GOTERM_BP_DIRECT	GO:0045444~fat cell differentiation	4	6.25	0.0015959955418548388	STEAP4, MAFB, CEBPD, BBS4	57	80	19414	17.029824561403508	0.567670397206768	0.1672603327863871	0.1663027354612742
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	4	6.25	0.002053525572514766	RPS16, RPL32, RPS27A, RPS12	60	88	20624	15.624242424242425	0.2713546034938912	0.10541431272242467	0.10541431272242467
GOTERM_BP_DIRECT	GO:0030183~B cell differentiation	4	6.25	0.0022361686660275467	TPD52, KLF6, RABL3, ZBTB1	57	90	19414	15.137621832358674	0.6912746177988998	0.19529206349973907	0.1941739791667253
GOTERM_MF_DIRECT	GO:0003723~RNA binding	12	18.75	0.003375756849512423	PRPF38B, RPS16, RPL32, ESRP2, U2AF2, SNRPB2, RPL22L1, SRSF5, RPS27A, SRSF6, HNRNPA1L2, RPS12	57	1468	18945	2.7169080739997127	0.38132079961478516	0.24136661474013824	0.24136661474013824
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	5	7.8125	0.004353431507049399	PRPF38B, PPP4R2, U2AF2, SRSF5, HNRNPA1L2	57	230	19414	7.4042715484363075	0.8987883108561092	0.32588544424198357	0.3240196878818195
GOTERM_CC_DIRECT	GO:0022627~cytosolic small ribosomal subunit	3	4.6875	0.00800739490768351	RPS16, RPS27A, RPS12	60	47	20624	21.940425531914897	0.7100661383938609	0.3082847039458151	0.3082847039458151
GOTERM_BP_DIRECT	GO:0048538~thymus development	3	4.6875	0.008129199853006043	MAFB, BCL2, ZBTB1	57	47	19414	21.74020156774916	0.9862301179575976	0.5324625903718958	0.5294141404270185
GOTERM_MF_DIRECT	GO:0008823~cupric reductase activity	2	3.125	0.008842053844918278	STEAP4, STEAP2	57	3	18945	221.57894736842104	0.7166735468793617	0.31610342495582844	0.31610342495582844
GOTERM_MF_DIRECT	GO:0052851~ferric-chelate reductase (NADPH) activity	2	3.125	0.008842053844918278	STEAP4, STEAP2	57	3	18945	221.57894736842104	0.7166735468793617	0.31610342495582844	0.31610342495582844
GOTERM_CC_DIRECT	GO:0005840~ribosome	4	6.25	0.012965587059735339	RPS16, RPL32, RPL22L1, RPS27A	60	171	20624	8.040545808966863	0.8659788410870531	0.39934008143984845	0.39934008143984845
GOTERM_CC_DIRECT	GO:0005829~cytosol	25	39.0625	0.016442520245071982	DLX1, RPL32, ADH1C, ZBTB21, AKAP5, HINT1, RPS16, RPS27A, BBS4, RPS12, EIF2AK1, MTERF4, GLMP, HAUS3, OPRK1, PEX2, ARPC5, NFKBIA, CCNA2, KLF6, PPFIBP1, BCL2, SRSF5, SGK1, STEAP2	60	5593	20624	1.5364443649800348	0.9221675322737327	0.4190193800997474	0.4190193800997474
GOTERM_CC_DIRECT	GO:0032040~small-subunit processome	3	4.6875	0.019046335459079425	RPS16, RPS27A, RPS12	60	74	20624	13.935135135135136	0.9482550391308908	0.4190193800997474	0.4190193800997474
GOTERM_BP_DIRECT	GO:0015677~copper ion import	2	3.125	0.020020790002814606	STEAP4, STEAP2	57	7	19414	97.31328320802004	0.9999755176708871	1.0	0.9961759082217974
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	4	6.25	0.022449833723550604	PRPF38B, PPP4R2, U2AF2, HNRNPA1L2	57	209	19414	6.518593133551582	0.9999933472177431	1.0	0.9961759082217974
