transcript_id,LNCaP_DHT_RNA_rep1_batch,LNCaP_DHT_RNA_rep2_batch,LNCaP_Veh_RNA_rep1_batch,LNCaP_Veh_RNA_rep2_batch
NM_001003806,0.129672,0.120542,0.091049,0.080759
NM_006737_3,0.0,0.0,0.0,0.0
NM_001253387,0.0,0.0,0.0,0.0
NM_001003805,0.133221,0.074845,0.334884,0.159203
NM_001003802,0.0,0.015191,0.066909,0.002586
NM_001003803,0.0,0.0,0.0,0.0
NM_001003800,4.066571,4.102005,4.297389,4.355879
NM_001003801,0.614812,0.506169,0.623267,0.73228
NM_006737_9,0.0,0.0,0.0,0.0
NM_025260_6,0.020126,0.0,0.010962,0.0
NR_037860_2,0.0,0.003967,0.006402,0.006529
NM_001168531,0.015837,0.043266,0.040616,0.025197
NM_001003809,0.0,0.0,0.0,0.0
NM_001304464,7.784762,8.584177,15.063207,15.405085
NM_001304465,0.047583,0.005701,0.0,0.002186
NM_001304466,0.003886,0.003917,0.002603,0.001232
NM_001304467,2.077801,1.413334,1.8308,2.275023
NM_001304460,0.0,0.0,0.0,0.0
NM_001008781,0.00032,0.000925,0.000434,0.001853
NM_001304462,9e-06,0.0,0.0,0.0
NM_001304463,0.983124,1.093447,0.772215,1.302969
NM_006737_7,0.0,0.0,0.0,0.0
NR_001284_2,0.0,0.0,2.7e-05,1.6e-05
NR_001284_3,0.0,0.0,0.0,0.0
NM_001304468,2.898515,2.87364,2.947797,1.899705
NR_001284_5,0.0,0.0,4.4e-05,3.4e-05
NR_001284_6,0.0,0.0,0.0,0.0
NM_012151_3,0.222863,0.210261,0.208735,0.223722
NR_003227,0.477097,0.701519,0.728514,0.329773
NR_003226,0.528273,0.341468,0.429822,0.865272
NR_003225,0.038091,0.038066,0.0,0.030415
NM_001290300,0.0,0.0,0.0,0.004189
NM_001290307,3.425011,3.671459,2.826458,3.398546
NM_006737_5,0.0,0.0,0.0,0.0
NM_001278268,0.0,0.0,0.0,0.0
NR_131066,0.0,0.0,0.0,0.0
NM_001278266,0.009026,0.038419,0.0,0.0
NM_001278267,0.730832,0.697871,0.628219,0.64696
NM_001278264,0.009819,0.011117,0.004424,0.013598
NM_001278265,0.007389,0.003764,0.005942,0.0
NM_001278262,0.0,0.007876,0.0,0.012337
NM_001278263,0.004093,0.00437,0.004714,0.004655
NM_001278260,0.0164,0.046919,0.068285,0.0
NM_001278261,0.27131,0.169243,0.032361,0.017625
NR_027932,0.0,0.0,0.0,0.0
NM_001469,83.864479,85.920135,89.690338,84.930931
NM_001466,0.168143,0.148778,0.154103,0.164474
NM_001467,4.984038,3.645367,0.783291,3.378935
NM_001464,0.695213,0.691972,0.898442,0.776689
NM_001465,0.0,0.0,0.004248,0.0
NM_001462,0.0,0.0,0.0,0.0
NM_001463,0.019598,0.014603,0.0,0.006374
