"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DNALI1|DNALI1",731.244136713697,0.217094531589431,0.103285200334782,2.10189389075836,0.0355625718330746,0.0915162303388036
"SNORD115-25|SNORD115-25",1.26940587875018,0.705367089478237,4.32607588328705,0.163050096324774,0.870478991232356,NA
"C2orf49|C2orf49",7864.19353257292,0.122641613363019,0.0280486185718327,4.3724653693348,1.22851308819262e-05,7.05038052491105e-05
"SMA5|SMA5",33297.8594070993,0.151434298997387,0.0135380738512557,11.1858083107843,4.78524989637101e-29,1.40731490820254e-27
"TMX1|TMX1",11760.2629735816,0.0587089497753756,0.0247778257309719,2.36941491205947,0.0178162540375403,0.0510669274886246
"SAA4|SAA4",0,NA,NA,NA,NA,NA
"ZNF14|ZNF14",3945.29672097756,0.128888710664579,0.0414895783650921,3.10653218816562,0.0018929569895308,0.00718945433621261
"MGAT5B|MGAT5B",16.3860791897641,-0.779022264301504,2.46260449250444,-0.316340795557165,0.751743849405195,NA
"KIF21A|KIF21A",16185.2794937038,0.452969223138865,0.0185742027429165,24.3870075829559,2.34916854204497e-131,4.06849889609499e-129
"LOC100506603|LOC100506603",701.992094701086,-0.0940496801220119,0.10684229146678,-0.880266407906966,0.378715005863397,0.567326361979122
"ZNF136|ZNF136",3640.37539132128,0.166966189824565,0.0432707335226676,3.8586401530979,0.000114019674640862,0.000562234947367007
"FANCE|FANCE",1188.00108151599,0.00489883341268952,0.0807811396419815,0.0606432817660277,0.951643303070304,0.976258007434305
"CAPS|CAPS",282.780644751987,0.0455581117010345,0.162072234863247,0.281097571952873,0.778635563422449,0.87661545505318
"TTR|TTR",126.129256806096,0.0734587130747382,0.247841483528683,0.296393937079694,0.766929254946403,0.869311335297629
"A1BG-AS1|A1BG-AS1",246.923274432047,-0.263553523658285,0.178066808945743,-1.4800822523786,0.138851297260426,0.273681736266851
"ASGR1|ASGR1",10.0804228415592,-1.02279843738279,1.30116207434235,-0.786065362302966,0.431829195534373,NA
"HAND2-AS1|HAND2-AS1",0,NA,NA,NA,NA,NA
"LINC01446|LINC01446",892.3280626791,0.186444409256323,0.0952404990932815,1.9576168860026,0.0502749844342286,0.122711585088682
"MT1A|MT1A",0,NA,NA,NA,NA,NA
"MIR1244-3|MIR1244-3",330.937853884669,-0.203858642930436,0.152992281435739,-1.33247665187647,0.182703608747891,0.338015084777749
"CDR2|CDR2",1403.94609110674,0.0156982210631954,0.0721555694519713,0.217560767414421,0.827771355302326,0.907155460528535
"BTN2A1|BTN2A1",3383.66645234449,0.0617029851221351,0.0465955848956035,1.32422385640999,0.185428710058038,0.341196706843895
"MIR548AH|MIR548AH",0.964513040688956,-3.34044936175523,4.83881004226103,-0.69034521557584,0.48997711979548,NA
"ATG9A|ATG9A",7132.65197716215,-0.01381499116737,0.0307684528047925,-0.448998565349316,0.653432691567953,0.795458869374389
"UAP1L1|UAP1L1",3087.77956199748,-0.189488357465611,0.0475089355445388,-3.98847827874336,6.64984904294675e-05,0.000341301575729036
"LOC101927636|LOC101927636",0,NA,NA,NA,NA,NA
"MSLN|MSLN",0,NA,NA,NA,NA,NA
"LIME1|LIME1",58.5123323188909,-0.133907076558623,0.385115541607633,-0.347706239015021,0.728060810652197,0.84448416444098
"FCER1A|FCER1A",0,NA,NA,NA,NA,NA
"USP17L7|USP17L7",85.5000670354547,-0.0937052087414455,0.310853033077725,-0.301445373762899,0.763074899115178,0.866858472774429
"RSPH14|RSPH14",35.7852865067714,0.242189794108547,0.499657466453333,0.484711648217043,0.62788090263609,0.777714544099953
"LOC339862|LOC339862",364.411854962573,0.0185386303760685,0.143568810186261,0.129127143646431,0.897257044281006,0.947337775989034
"MIR3687-2|MIR3687-2",144.13457113503,-0.0980167458513205,0.229855069796236,-0.426428470506269,0.669795659355399,0.806695887794584
"GPR158-AS1|GPR158-AS1",9.91996248690656,-0.322692696941777,1.15397676888861,-0.279635349377579,0.779757283711372,NA
"MIR374B|MIR374B",8.90707486882964,-0.718059610680783,1.15098929174638,-0.623862981028506,0.532717573649787,NA
"HNRNPCL1|HNRNPCL1",44.9951048447034,0.133619935741061,0.437213719648443,0.305616978004493,0.759896292041323,0.86515892071924
"ZNF708|ZNF708",5000.82485276115,0.157099331904073,0.0368561334421504,4.2625017122498,2.02150949323436e-05,0.000112492925637429
"URM1|URM1",3240.89678359281,-0.102203116065642,0.047213987373561,-2.16467876896314,0.0304122940815292,0.0803996655103113
"DUOX1|DUOX1",269.570752937775,0.0614033425099148,0.166191380670062,0.369473689082697,0.711774681061585,0.83560367410109
"TCHP|TCHP",3357.53924179836,0.134427626675813,0.0466393883855099,2.88227679069602,0.00394812749190622,0.0137795484138697
"SLC25A22|SLC25A22",898.313435559605,-0.179438670188752,0.0922808323048327,-1.94448473975624,0.0518370238933734,0.125834557144683
"DEFA3|DEFA3",0,NA,NA,NA,NA,NA
"TNFAIP8|TNFAIP8",2316.48567524812,-0.928627701756628,0.0613450705251415,-15.1377721764301,9.12529167722025e-52,4.83795650928e-50
"FLJ26850|FLJ26850",4.18178183774543,-0.787634545653476,2.04874752518423,-0.384446856419094,0.700647277394686,NA
"CXorf65|CXorf65",0,NA,NA,NA,NA,NA
"FMR1NB|FMR1NB",75.8924128323994,0.307278991257195,0.359464511650107,0.854824276940839,0.392648436220093,0.581316645353266
"CCDC159|CCDC159",1960.18265125258,-0.0336295036390561,0.0605201384529652,-0.555674598550236,0.578433324434652,0.741748438606099
"BEND5|BEND5",76.905088106956,-0.243784425932505,0.32579683150876,-0.748271322356155,0.454296518542548,0.640709358896372
"KRT28|KRT28",0,NA,NA,NA,NA,NA
"OSGEPL1|OSGEPL1",2407.88813617234,0.190864653641288,0.0570136894807743,3.34769869095473,0.000814855525526181,0.00337527320658426
"CRAMP1|CRAMP1",6643.09129656905,-0.143134558729513,0.0339351491578193,-4.21788506258952,2.46604458972156e-05,0.000134776427138815
"CDO1|CDO1",0,NA,NA,NA,NA,NA
"CASP6|CASP6",2826.42799497844,0.0622867104940704,0.0504216687761863,1.23531632343529,0.216712800960183,0.382678421724978
"NISCH|NISCH",11509.4160763299,-0.100957074649153,0.0236888707622282,-4.26179346675016,2.02792821463613e-05,0.000112809839691411
"GGT1|GGT1",686.552383990579,0.172454905812135,0.110247293491452,1.56425523339951,0.117757640681341,0.241488980625708
"LINC00301|LINC00301",0,NA,NA,NA,NA,NA
"PRDM11|PRDM11",366.719329644623,0.00845845417962666,0.150871634294835,0.0560639130023413,0.955290891953964,0.977917959018186
"CCDC92|CCDC92",1091.58925894171,-0.142941169597705,0.0843893713514805,-1.69382906056211,0.0902977701997409,0.196491881069854
"PPP4R3B|PPP4R3B",17928.5986268524,0.0394547067519238,0.0183061307651089,2.15527285684661,0.0311404885374555,0.081998134488433
"SLC7A11-AS1|SLC7A11-AS1",394.752036016846,-0.100953517914021,0.147005703113045,-0.686731982339415,0.492251638939977,0.674389424564942
"LOC101241902|LOC101241902",8.85576610397364,1.21846114512191,1.20191306719097,1.01376811550075,0.310693412865421,NA
"WWP1|WWP1",18447.6533848844,-0.151037267190316,0.0182345897925377,-8.28300877117217,1.20101572581005e-16,1.94799501750273e-15
"WISP2|WISP2",10.4974318642657,0.244583676072183,1.05683596695228,0.231430121343729,0.816980666796146,NA
"PSMA3|PSMA3",12856.1916510284,-0.126872156835576,0.0217304483443449,-5.83845095255907,5.26883883995931e-09,4.60344119946445e-08
"DNMT3L|DNMT3L",4.41244802467927,-0.554500428651427,4.55807324985405,-0.121652373328836,0.903174333561639,NA
"DSCAM-AS1|DSCAM-AS1",6.23497526851616,0.457994412571609,1.67874959775807,0.272818777251384,0.784992524758009,NA
"SOX12|SOX12",4672.94345915638,-0.140886265221403,0.0385426326596788,-3.65533580607717,0.000256845554149742,0.00117921992710811
"AURKAPS1|AURKAPS1",328.368028319445,-0.169345964215277,0.150719618624565,-1.12358275426047,0.261190075642843,0.438987460539681
"MIR6070|MIR6070",0.73077667141067,-2.93918620294945,4.85601907443136,-0.60526660993267,0.545001863470584,NA
"IFIH1|IFIH1",1467.58473930735,0.0308591544829225,0.0696087841293103,0.443322705157388,0.657532335169882,0.7984540751241
"ADGRL4|ADGRL4",4.05729304119566,-5.41320673364105,4.79765228215646,-1.12830326486435,0.259191865126737,NA
"SPNS3|SPNS3",16.5847666432388,-0.73335545146974,0.805396644492995,-0.91055190816122,0.362531519712475,NA
"PCM1|PCM1",81598.4348308163,0.0653448715182204,0.00879082659036383,7.43330230058786,1.05919454041221e-13,1.40149960113795e-12
"MIR4512|MIR4512",1.7257942072081,-1.2223603253838,3.24444891318046,-0.376754375887384,0.706356149199544,NA
"SYS1|SYS1",9667.1168316117,0.0935730453450149,0.0248550755490706,3.76474596346636,0.000166718489846708,0.000797129172159706
"C1orf228|C1orf228",269.078548680378,0.0458602539406698,0.165923547386215,0.276393885395436,0.782245552626142,0.878321670420953
"NRL|NRL",125.402047169325,-0.286792530260898,0.284411226579728,-1.00837274853671,0.31327555045964,0.498980789394483
"LOC101927766|LOC101927766",0,NA,NA,NA,NA,NA
"TMEM63A|TMEM63A",2807.67889590504,-0.111738190575023,0.0500156855725795,-2.23406296036623,0.0254789307006831,0.0692364178576617
"LOC101928418|LOC101928418",0,NA,NA,NA,NA,NA
"MEGF10|MEGF10",62.4857509558625,0.393491134059347,0.364672903801571,1.07902487395515,0.280576639292066,0.462008240231226
"GOLGA2P7|GOLGA2P7",3075.82644484702,-0.223140885604142,0.0485305971952087,-4.59794229826976,4.26684121134301e-06,2.62149207572738e-05
"MIR4666A|MIR4666A",0.763430535478059,1.12446335733683,4.89019409261065,0.229942480000119,0.818136466339984,NA
"SIRT2|SIRT2",3982.50728787458,-0.00164444407858184,0.0445931145378672,-0.0368766365754834,0.970583368385651,0.985810856210241
"MIR1183|MIR1183",3.78454475458627,1.10113081374224,1.96184785939099,0.561272276273278,0.574611938074648,NA
"SLC25A26|SLC25A26",3237.94295938429,0.00314424775994787,0.0463870148326042,0.0677829295826526,0.945958432725291,0.973051810921211
"MIR519A1|MIR519A1",0,NA,NA,NA,NA,NA
"TRIM38|TRIM38",9088.23091005966,0.181340196870955,0.0258175959613527,7.02389940343052,2.15760180540953e-12,2.54391371716478e-11
"AKNA|AKNA",482.741123351385,-0.250603463720789,0.122954934462304,-2.03817329346486,0.0415326053421377,0.104684463044615
"KLHL21|KLHL21",6336.14269553977,0.0213294516654122,0.0335229416334906,0.63626432007695,0.524604156448742,0.700886059170538
"MIR3975|MIR3975",5.67350211037116,-1.08825210691276,1.5292158849975,-0.711640598027489,0.476687360350538,NA
"KIR3DL2|KIR3DL2",0.238664296540921,-1.33613088264305,4.99673645908316,-0.267400711161023,0.789160651941996,NA
"APOA4|APOA4",0,NA,NA,NA,NA,NA
"BSPH1|BSPH1",0,NA,NA,NA,NA,NA
"CDK20|CDK20",1249.93066108427,0.135209515681986,0.0780635028493348,1.73204520354339,0.0832655143648732,0.184486079943892
"ST8SIA4|ST8SIA4",3301.86769658987,0.200942098492506,0.0465364749366255,4.3179484214512,1.57486219691882e-05,8.88753695270589e-05
"LOC101928565|LOC101928565",0,NA,NA,NA,NA,NA
"MVK|MVK",1122.26517357358,0.0628852792587535,0.0804898406402506,0.781282193610239,0.434636540592933,0.621777249838634
"CDC45|CDC45",1387.87717821004,-0.115382494880625,0.0734503345096345,-1.57089134652601,0.116207888971008,0.238899019439608
