"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C2orf49|C2orf49",5256.72249695097,0.121761672856326,0.0331996165700832,3.66756262378187,0.000244873588300891,0.00119968595771256
"SMA5|SMA5",22327.7854615839,0.14816614311323,0.0152254438197434,9.73148269878984,2.21342797868687e-22,5.63157538817498e-21
"ZNF14|ZNF14",2641.27846824299,0.12352384677084,0.0488876048098096,2.52669050266203,0.0115142922682747,0.0362370195985316
"KIF21A|KIF21A",10785.1070826447,0.447700254631821,0.0219538716578789,20.3927699682597,1.93853580761759e-92,2.52773885452905e-90
"ZNF136|ZNF136",2432.24447564242,0.169638798018468,0.0510177794513917,3.32509175904245,0.000883894396386361,0.00382466238334252
"UAP1L1|UAP1L1",2098.66594823154,-0.198196722661575,0.0553463868738767,-3.58102369199322,0.000342250614186278,0.00162395401643811
"TCHP|TCHP",2245.91950376643,0.133836457677161,0.0545339935805148,2.45418405823448,0.0141204685942054,0.0430987338748638
"TNFAIP8|TNFAIP8",1548.0770517535,-0.934643837903863,0.0704732866943666,-13.2623846814083,3.82535060433662e-40,1.75255336302057e-38
"OSGEPL1|OSGEPL1",1610.28396888318,0.18947205666171,0.0657768013386741,2.8805301079654,0.00397007031987848,0.0145077131791625
"CRAMP1|CRAMP1",4480.16169417373,-0.142426840585611,0.0385708364126492,-3.69260440872634,0.00022196916355815,0.00109538712773365
"NISCH|NISCH",7752.42833089047,-0.0966169117857718,0.0274067209545471,-3.5252999417919,0.000423003546786883,0.00196990078914043
"WWP1|WWP1",12348.5043950569,-0.151595286926966,0.0211524812367673,-7.16678507973156,7.6779422364756e-13,1.07896968568752e-11
"PSMA3|PSMA3",8590.08662165355,-0.127874040617378,0.0254816218352027,-5.01828499945483,5.21347958576756e-07,3.94751516820736e-06
"SOX12|SOX12",3165.48189887762,-0.139687402099698,0.0448742000981321,-3.11286667604605,0.00185279696389007,0.00742707053718986
"PCM1|PCM1",54518.5170180023,0.0631375270538397,0.00973834353583775,6.48339492455666,8.96813431297745e-11,1.06030400539047e-09
"SYS1|SYS1",6477.99213945686,0.0909474412995604,0.0294225252691876,3.09108210350673,0.001994284819833,0.00794025145089703
"GOLGA2P7|GOLGA2P7",2061.27483143784,-0.222586531724385,0.0565743363864471,-3.93440817765752,8.34019448576062e-05,0.000446335348940015
"TRIM38|TRIM38",6097.21455639425,0.181465606458891,0.0304964670887668,5.95038126648225,2.67518580224875e-09,2.66164304213465e-08
"ST8SIA4|ST8SIA4",2202.19062933384,0.196645571413168,0.0545529090309911,3.604676174124,0.000312542380587323,0.00149607738197836
"CALR|CALR",288840.660848295,0.105833627027673,0.00649128440020101,16.3039578152508,9.25032698551316e-60,6.74428409949161e-58
"PALLD|PALLD",3282.66471891148,-0.122827083906681,0.0452432191944073,-2.71481751506011,0.00663122991001871,0.0225265803631673
"C10orf12|C10orf12",10571.5054323912,-0.0999387004366706,0.0225848885348917,-4.42502517921548,9.64310351079667e-06,6.12793470993035e-05
"BAZ2A|BAZ2A",10300.8677205018,-0.175703144785791,0.0236498819247358,-7.42934553943884,1.09136306332908e-13,1.66105213263811e-12
"NUB1|NUB1",10689.6542424023,0.0901093134194168,0.0219641959267198,4.10255461752631,4.08613355771525e-05,0.000231946660427696
"YIPF5|YIPF5",8310.54632710713,0.0817165378676011,0.0259743361980618,3.14604913267038,0.00165492202015781,0.00671124327612442
"ZNF614|ZNF614",6157.73166620785,0.0920617851159695,0.0308093151009277,2.98811527664233,0.00280703657135588,0.0107198600236995
"PTEN|PTEN",21763.6725039367,0.10004446895613,0.0149577551883101,6.68846813553396,2.25518736361404e-11,2.81607696482228e-10
"RPLP0|RPLP0",233378.080605339,-0.0594926283412695,0.0071653403157679,-8.3028336016855,1.01657207039792e-16,1.9183987249301e-15
"ARMT1|ARMT1",6232.57526822209,-0.122993994933109,0.0309898367655317,-3.96884939613196,7.22205059324907e-05,0.000391596273870654
"DSE|DSE",973.322419873268,0.247556784995132,0.084804391455679,2.91915053861935,0.00350986682138048,0.0130332157625248
"DNAJC1|DNAJC1",6287.08487812254,0.106736065036069,0.0298570936064431,3.5748980273497,0.000350364425299077,0.00165955011228808
"TSR2|TSR2",3600.36294846123,0.257199445189423,0.0445169592993902,5.77756093940914,7.57912749493042e-09,7.20256117440445e-08
"DICER1|DICER1",26908.0304235564,-0.0830262984513908,0.0136954816161464,-6.06231316126233,1.34177635667337e-09,1.38056367017053e-08
"PCMTD1|PCMTD1",17101.4257257201,0.0856126329630989,0.0172553179259121,4.96152162079469,6.99430830683902e-07,5.23165002476801e-06
"SLC9A3R2|SLC9A3R2",1194.78710991363,-0.204310176476083,0.0768063074766648,-2.66007028834391,0.00781243459356922,0.0259349878882233
"PPP2R1A|PPP2R1A",18350.3378582119,-0.0840447260461916,0.0172868126294664,-4.86178266911577,1.16333307323806e-06,8.52754584117908e-06
"COPS2|COPS2",14343.2653480287,0.0552030278831541,0.01922539393718,2.87136003889091,0.0040870972626438,0.0148712438901831
"BCL2L1|BCL2L1",9892.83988311965,-0.0838825407805142,0.0231109630541524,-3.62955626660667,0.000283908843106638,0.00137306983643692
"C1orf116|C1orf116",17957.7833363783,-1.27106486802823,0.0177987262991789,-71.4132487158287,0,0
"SLC43A1|SLC43A1",1862.80769977003,-0.383280693562659,0.0591143288251008,-6.48371894226619,8.94888582540922e-11,1.05895148934009e-09
"ZNF708|ZNF708",3342.40263116218,0.151251940624036,0.0433069148802834,3.49255866048535,0.000478416502566988,0.0021992563360376
"TRPM8|TRPM8",390.910302440628,-1.68488145039274,0.141760323529003,-11.8854232866365,1.40919368937399e-32,5.3380099501678e-31
"USP22|USP22",121448.59636679,-0.0302420103085182,0.00730405767939925,-4.14043968927222,3.46640741530507e-05,0.000199186232876915
"MAPK7|MAPK7",324.873415098467,-0.375930767995275,0.150804737178048,-2.49283129316708,0.012672904442604,0.0392726821631976
"ARPC5L|ARPC5L",2348.05872240705,0.126947826519026,0.0522625233438758,2.42904127846521,0.0151388086261455,0.0456520755568511
"PRH1|PRH1",268.231988177015,-0.724087059033876,0.181707704511052,-3.9849001503942,6.75085065391531e-05,0.000367682308191793
"PROSER1|PROSER1",2580.03047528279,0.149488920967386,0.0503930270644242,2.96646043462073,0.00301249118836297,0.0114112829623995
"SCAPER|SCAPER",3924.83425250331,0.101370475050781,0.0390806179153931,2.59388107092475,0.00948993075471526,0.0306484760573217
"NOP10|NOP10",2974.68761367936,-0.169438778131777,0.0461984038708562,-3.66763273046033,0.000244806477457707,0.00119968595771256
"ATP5F1|ATP5F1",11793.2929392151,-0.0705792836554906,0.020914333332451,-3.37468484094487,0.000739002689782961,0.0032537712584892
"RNF138P1|RNF138P1",2228.37595095508,-1.115772878819,0.055909107266481,-19.956907440873,1.30545151382751e-88,1.59488540351485e-86
"LRP6|LRP6",20920.0768951094,0.118627478134782,0.0155523476743226,7.62762514180668,2.39117652446361e-14,3.77934089140455e-13
"FAM162A|FAM162A",12180.2039313648,0.0615128871845242,0.0204547902118658,3.00726072217748,0.00263613563359914,0.0101558623088744
"SLC2A12|SLC2A12",15032.471239598,-0.806850939407034,0.019215947564619,-41.9886105899161,0,0
"RNU6-14P|RNU6-14P",906.582402609002,0.228243725010113,0.0860252373427647,2.65321819573346,0.00797283136369952,0.0264028244500926
"PPIP5K2|PPIP5K2",9099.31241637055,0.0685899201402106,0.0249431234677926,2.74985288946575,0.00596220252904376,0.0205368119116999
"ADAMTS1|ADAMTS1",65295.8475185755,-0.125440184864701,0.00890096677629998,-14.092871933721,4.20122382560962e-45,2.24302347634221e-43
"MGRN1|MGRN1",2676.14921321265,-0.150221295313068,0.0496616820812311,-3.02489341918288,0.00248720758001468,0.00964788958597798
"FLNA|FLNA",42575.6614709272,-0.0859227967432871,0.0107882638477688,-7.96446934888948,1.65934304108346e-15,2.82692851509206e-14
"SON|SON",41813.9498116242,0.0504195555203663,0.0107704326336728,4.68129342945184,2.85070556959602e-06,1.98451838959403e-05
"ABCC4|ABCC4",32989.4246622943,-0.467387350085067,0.0126707837399398,-36.8870118595589,7.46444657675704e-298,4.40110260988705e-295
"ZNF253|ZNF253",6138.31979453252,0.156262060344168,0.0303857530271034,5.14260943952207,2.70948511364272e-07,2.13128350499472e-06
"SPRED1|SPRED1",1978.02647234413,-0.158286779605443,0.0633123614995941,-2.50009280741262,0.0124160775165324,0.0386357106933676
"ATP6V1C1|ATP6V1C1",7934.97522445325,-0.125141282558189,0.0262255317653799,-4.77173479942119,1.82645894078688e-06,1.30224025741382e-05
"PRDX6|PRDX6",21821.6236166923,0.0749605471845665,0.0148639152001429,5.04312263459669,4.57995511507192e-07,3.49318173877899e-06
"HNRNPR|HNRNPR",24827.7153391412,0.0816996076877152,0.0141131293181679,5.78890803349637,7.08454712520994e-09,6.76098125017396e-08
"DDX18|DDX18",11707.9944084228,0.187121542677388,0.0211991250350267,8.82685216338941,1.07662960846086e-18,2.33977149364386e-17
"C6orf201|C6orf201",164.478441266158,-0.784492230526464,0.214348251916083,-3.65989563018966,0.000252317997920906,0.00123259523407976
"FAT1|FAT1",42201.377639018,-0.332130890209771,0.0109550362760891,-30.3176440350722,6.71143408684409e-202,1.97855994894984e-199
"MGAT4B|MGAT4B",5656.35617247641,-0.139962709096422,0.0330345596094627,-4.23685712027261,2.26670274013621e-05,0.00013417178463111
"GNB2|GNB2",3489.17840592827,-0.273791934122624,0.042932912686642,-6.37720380447914,1.80350393325605e-10,2.05178832540984e-09
"SELENBP1|SELENBP1",26878.0104334995,-0.0575872644363269,0.0135423750333271,-4.25237554672704,2.1151476687144e-05,0.000126192334075829
"CYCS|CYCS",31649.3463036345,0.0549565551147434,0.0123983839146628,4.43255794408411,9.31216651229311e-06,5.94269600344503e-05
"ZSWIM6|ZSWIM6",2229.24072982172,0.26582390017971,0.0543528388080488,4.89070867334984,1.00473578414647e-06,7.40098966258029e-06
"RPL31|RPL31",117569.556429866,0.0994480810321462,0.00745429765660428,13.3410397080184,1.335833520325e-40,6.23985816490363e-39
"TBC1D16|TBC1D16",17045.9141099689,-0.116298488092513,0.0170429839268704,-6.82383370139507,8.86424904553576e-12,1.14928197202547e-10
"UHRF2|UHRF2",6237.17882296666,-0.0971294424703623,0.030284244841469,-3.20725984678873,0.00134005894240685,0.00554886696732194
"UQCRFS1|UQCRFS1",4653.04217814691,-0.122031191722397,0.035859411176764,-3.40304505059664,0.000666392916574949,0.0029551845460016
"EIF5|EIF5",26552.7330295816,-0.040373201952969,0.0135263047382954,-2.98479168805544,0.00283771502181923,0.0108309184944809
"HLA-A|HLA-A",9386.43895654751,-0.0583546285106479,0.0243271687565985,-2.39874311287539,0.0164514516207965,0.0489787344521672
"DIS3L|DIS3L",10463.0246242346,0.152877458964195,0.0223741948980279,6.83275799021803,8.32974156457592e-12,1.08198874863232e-10
"ARPC2|ARPC2",8577.64736227413,-0.159848900458366,0.0251639609497376,-6.35229488623227,2.12126176190859e-10,2.38923843465468e-09
"NOL9|NOL9",7631.05133457686,0.0906403651759919,0.0271910188524631,3.33346704173909,0.000857708326958824,0.00372800725060533
"PDHX|PDHX",17946.1289106564,0.0451021145385761,0.0165316294361207,2.72823164303637,0.00636748762842796,0.0217395517948418
"LMBR1|LMBR1",9839.80080474921,0.0905082883422812,0.0232131224409207,3.8990139552588,9.65852085871954e-05,0.000512037534656355
"USP43|USP43",2487.4756964483,-1.26854997905262,0.0534869384447023,-23.7170048602448,2.40761867215756e-124,4.53468289071232e-122
"CCT8|CCT8",54655.901200955,-0.0745844238647926,0.00976595341823795,-7.63718816490625,2.22016920797271e-14,3.51725638192966e-13
"MRPL17|MRPL17",9300.85560069648,0.13769425273552,0.0261389711441306,5.2677763013805,1.38086230407934e-07,1.13215681412454e-06
"SMC5|SMC5",15219.1034134706,0.0557311660141316,0.0181555575314544,3.06964773279903,0.00214311384163002,0.00845093539003917
"FAM104A|FAM104A",4159.25676848788,-0.172850291298745,0.0387186602656575,-4.46426322896453,8.03447402096039e-06,5.18095588198972e-05
"ZNF440|ZNF440",3254.30493658702,0.166683190455278,0.0442827451231268,3.76406634213441,0.000167172501613834,0.000846221087863086
"ZNF24|ZNF24",58490.7124528987,0.174401584580362,0.00942242300980485,18.5092077057973,1.74041660050234e-76,1.78801435753123e-74
"ADAM9|ADAM9",78569.6638002899,-0.117363556678015,0.00835861772653171,-14.0410245470949,8.74393041087196e-45,4.63189219929042e-43
"SLC35A4|SLC35A4",3783.16055520676,-0.22556643853891,0.0418830681119425,-5.38562356358493,7.21939178324129e-08,6.14577350737822e-07
"APLP2|APLP2",63440.284762224,-0.118621309597687,0.0095146163843952,-12.467271911481,1.12615837592681e-35,4.64189475256639e-34
"RAB3D|RAB3D",8445.70065725224,0.0873330728755111,0.0258540829863328,3.37792189039069,0.000730358231036921,0.00321884561946431
"PIK3R3|PIK3R3",54419.0871409935,0.349837493876972,0.0096932804776974,36.0907222979763,3.17097801045873e-285,1.79173469999295e-282
"SRSF8|SRSF8",8476.69351307047,-0.334553879973493,0.025732701665339,-13.001117578887,1.20568349001446e-38,5.34322673466864e-37
"SLC4A4|SLC4A4",20151.7254509781,-0.256480777785403,0.0155468068706792,-16.4973283529441,3.83488078431879e-61,2.92161900652512e-59
"EEF2KMT|EEF2KMT",1234.07664693997,0.220408522726915,0.0736839454137042,2.9912692851803,0.00277820383429863,0.0106217147439875
