"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TNFAIP8|TNFAIP8",2316.48567524812,-0.928627701756628,0.0613450705251415,-15.1377721764301,9.12529167722025e-52,4.83795650928e-50
"C1orf116|C1orf116",26794.694543654,-1.2697167166258,0.0156033463744288,-81.3746414491348,0,0
"PRH1|PRH1",398.215541205377,-0.721886324455171,0.156950573677005,-4.5994500532427,4.23607738202992e-06,2.60464450310455e-05
"RNF138P1|RNF138P1",3328.23245974138,-1.11854938434444,0.0478939969551645,-23.3546885926343,1.23498320138401e-120,1.85093107307429e-118
"SLC2A12|SLC2A12",22438.7840207957,-0.808084381359687,0.016842186355261,-47.9797791280978,0,0
"C6orf201|C6orf201",243.169998029157,-0.820180399380903,0.179287893101435,-4.57465579628889,4.77003542713322e-06,2.91570753736178e-05
"ABLIM2|ABLIM2",72.6917957508773,0.948141296216984,0.341397804009327,2.77723314292637,0.00548238383694274,0.0184247341238522
"TBX15|TBX15",120.588774566206,-2.54979274163317,0.291209155078901,-8.75588111555874,2.02515094535124e-18,3.67902421738808e-17
"USP43|USP43",3683.63653882861,-1.26694348338383,0.0459762502424433,-27.5564770224398,3.70119608214064e-167,8.36094830903278e-165
"SLC2A3|SLC2A3",55.5140308998389,-5.37496077776996,1.46945496998691,-3.65779209812591,0.000254397263752805,0.00116866788980695
"FAM173A|FAM173A",555.082248084307,-0.536820721221995,0.120031316719522,-4.47233885200466,7.73687004315726e-06,4.57144023361229e-05
"DEGS1|DEGS1",13423.1642085425,-0.713577549451269,0.0212134207936394,-33.6380236074526,4.66672105050612e-248,1.51542043779664e-245
"TAS2R19|TAS2R19",134.832248079062,-0.600653941537792,0.239899574129791,-2.50377243776525,0.0122877037873314,0.0372440392195103
"TRPM8|TRPM8",582.464368876685,-1.67772299708549,0.118888218783636,-14.1117683000934,3.21416133369463e-45,1.49549649875517e-43
"RNVU1-18|RNVU1-18",277.583933426599,0.677000150126639,0.163976649835343,4.12863752739458,3.6491914817378e-05,0.000194136954809234
"TNS3|TNS3",127.135003740908,-1.19753336905374,0.257451615590278,-4.65148904312786,3.29546787106149e-06,2.06290994804158e-05
"PTGER4|PTGER4",453.966595885418,-1.24313949442914,0.13113633278526,-9.47974880817221,2.54895921536442e-21,5.44255168354592e-20
"SNORD22|SNORD22",600.011771347687,0.561361069879966,0.111017139478737,5.05652615907549,4.26962327824211e-07,3.02228056484831e-06
"IGSF5|IGSF5",82.6689246044834,-0.770546481198765,0.317395390491562,-2.42771793253012,0.0151941551502213,0.0447865537682488
"SYS1-DBNDD2|SYS1-DBNDD2",56.4710816925997,9.31491126138486,1.49620698746224,6.22568357148509,4.79460889915747e-10,4.66210660705973e-09
"MBOAT2|MBOAT2",18078.1460941086,-0.688595927026071,0.0186429544714935,-36.9359871622809,1.22271590961566e-298,5.29402024532759e-296
"GLTPD2|GLTPD2",355.227573681823,-0.538130787463461,0.147923021103262,-3.63791101242993,0.000274858351492789,0.00125379488578229
"SNORD1C|SNORD1C",87.2303352440329,-0.891358853284469,0.307367485523645,-2.89997769857118,0.00373189210930988,0.013118854828104
"NT5DC3|NT5DC3",2905.40658561326,-0.556329362535697,0.0519198740640899,-10.7151523874839,8.64148316804309e-27,2.37976675159519e-25
"NKX3-1|NKX3-1",61590.0479084835,-2.27201534432367,0.011259456100455,-201.787308734377,0,0
"FAR2P1|FAR2P1",451.275666722545,-0.758523807708325,0.130816705286529,-5.79837113346437,6.69621296604515e-09,5.81470036221425e-08
"ZFP2|ZFP2",650.304060162711,0.65643416383528,0.107255278290893,6.1202970547979,9.34010715663957e-10,8.80727466730436e-09
"LOC283683|LOC283683",45.0318607200347,8.98774063398665,1.50048473663121,5.98989140946901,2.09981192551868e-09,1.91402154871694e-08
"DNAJB4|DNAJB4",6163.47060772009,0.546899133500835,0.0324496638305385,16.8537688512553,9.84366398430745e-64,6.58511547310731e-62
"ADRB2|ADRB2",2265.8797043192,-0.727806102471796,0.0578222283021306,-12.5869604794352,2.49081085350851e-36,9.28810257742515e-35
"SNORA24|SNORA24",989.007104517989,0.602934658821391,0.0876693284768044,6.877372842897,6.09663987170204e-12,6.89110411024073e-11
"ZNF385B|ZNF385B",151.536795109077,-0.745970645293689,0.233407588911383,-3.19599996201027,0.00139347130136482,0.00545729577245563
"LOC101927482|LOC101927482",245.0467752576,-1.42365604195752,0.183232940333149,-7.7696512393954,7.87025214039334e-15,1.13586685289177e-13
"IGFBP3|IGFBP3",541.216197656298,-0.577292672301146,0.123820183571744,-4.66234708791764,3.12623357017746e-06,1.97201953291607e-05
"PDE9A|PDE9A",2550.84725900795,-0.589914208403878,0.0546597189458745,-10.7924852117887,3.73549049857216e-27,1.03235975888731e-25
"FFAR2|FFAR2",491.420595425432,0.521406592943816,0.125944238846203,4.13997970626138,3.47336547294551e-05,0.000185663057705081
"FAM110B|FAM110B",234.005941887896,-1.6617823141524,0.192337828625198,-8.63991408258362,5.62553103417117e-18,9.96422184427569e-17
"SH3D21|SH3D21",283.50130352586,-1.01735059729111,0.166599440207314,-6.10656672090333,1.01797092606731e-09,9.55274703468467e-09
"C1orf233|C1orf233",501.191277483958,-0.51476382598749,0.12318022318698,-4.17894863858228,2.92859809217746e-05,0.000158445187305693
"RNVU1-6|RNVU1-6",269.778864609436,0.785230453780851,0.16843217020042,4.66199807819666,3.13154115666651e-06,1.97456844696444e-05
"SNX15|SNX15",818.956121350447,13.1725457950168,1.44524818634327,9.11438320386039,7.9119228960808e-20,1.55123449284543e-18
"HERC5|HERC5",1040.08802988419,-0.525372767652584,0.0846910804147994,-6.20340140991728,5.52556612797838e-10,5.33624530587354e-09
"LRIG1|LRIG1",17342.6153526262,-0.725044710522583,0.0187603217982794,-38.6477757854389,0,0
"RNU1-3|RNU1-3",306.457125868773,0.558306859050133,0.155863150512899,3.58203242532255,0.000340931463348725,0.00152572458203175
"RNVU1-7|RNVU1-7",4933.67529233158,0.933953184114637,0.0370993265842008,25.1743972224114,7.64142942977072e-140,1.41794000621234e-137
"SLC36A1|SLC36A1",1134.64920887391,-0.615014564183989,0.0800784344988677,-7.68015219119557,1.58899698819387e-14,2.23737091734217e-13
"FHDC1|FHDC1",936.056612845712,-0.675057206404549,0.0926368687593581,-7.28713324883787,3.16619726871779e-13,4.02869525122483e-12
"FAM225B|FAM225B",119.262905445567,-0.939334013396094,0.260431050363462,-3.60684339323265,0.000309944595233105,0.00139788958504005
"BMP6|BMP6",1831.21819955488,-0.617075665012421,0.0635059865766584,-9.71681093824982,2.55663321077586e-22,5.77539737048744e-21
"MIR6076|MIR6076",58.0794430954825,6.2974005561525,2.33470486636839,2.69730047975959,0.0069904161277291,0.0228522684947386
"LIMS3L|LIMS3L",149.667179844129,3.04176511281716,0.533541964460164,5.70107941911337,1.19051151063996e-08,1.00905399218842e-07
"PBOV1|PBOV1",490.053083717195,-0.627324354802055,0.123328676078304,-5.08660576558655,3.6452847092206e-07,2.60877193584121e-06
"KL|KL",34.5920961751694,-2.4266716600667,0.569912814550262,-4.25796998788608,2.0629163528869e-05,0.000114470192924344
"SNORA49|SNORA49",1444.93788708368,0.852707578948668,0.0713272309940972,11.9548672654801,6.12313329090733e-33,2.03066550224197e-31
"LINC00327|LINC00327",100.848320314506,0.739762118302272,0.306624010406891,2.41260336175437,0.0158390456994248,0.0462674672632934
"RAB4B-EGLN2|RAB4B-EGLN2",105.740397145833,22.9246496804923,4.78526843748359,4.79067161643863,1.662239799383e-06,1.08543492890586e-05
"TMPRSS2|TMPRSS2",43255.5734173389,-2.48895794571282,0.0133018073106095,-187.114268579701,0,0
"AMIGO2|AMIGO2",1022.27765926592,0.58252157247004,0.0894673746172102,6.5109943704326,7.4654942306489e-11,7.7473141526714e-10
"WTH3DI|WTH3DI",2329.29423681876,-0.500267580219201,0.055260513965875,-9.05289408868205,1.39228316192742e-19,2.69584070123759e-18
"C9orf163|C9orf163",105.785854697647,-0.774056369241141,0.279284055578529,-2.77157379298902,0.00557860262070282,0.0186916764937435
"OPRK1|OPRK1",10114.8062977398,0.587752140583366,0.024714713132544,23.7814672349736,5.19442711284325e-125,8.09655354078878e-123
"HIVEP1|HIVEP1",17668.1437547895,-0.557824101766738,0.0178276594043707,-31.2898114729508,6.42079088772379e-215,1.81965213758092e-212
"RHOU|RHOU",9188.06397124228,-1.38972864461313,0.0272509046602619,-50.9975232726741,0,0
"KCNK5|KCNK5",498.081187381319,0.632996811381736,0.125585432202716,5.04036814047007,4.64637174974842e-07,3.2740956809823e-06
"PATE4|PATE4",138.885300199659,-0.602814146195261,0.242213805879196,-2.48876873061445,0.0128186320389593,0.0386243993023892
"MAB21L3|MAB21L3",229.286969653798,0.70022222051757,0.188395118039873,3.71677476466971,0.000201782178425901,0.000948749451377983
"KCNC2|KCNC2",196.648556317029,-0.504473270486346,0.201301897592536,-2.50605322910304,0.0122087238881946,0.037030040717122
"DOCK4-AS1|DOCK4-AS1",141.275680118106,-1.04903116472526,0.239937131994002,-4.37210846027571,1.23052364863392e-05,7.05931987900513e-05
"LOC440300|LOC440300",615.787364325905,-0.531555514347507,0.10967275780212,-4.84674157010421,1.25505742621525e-06,8.34581062389811e-06
"LEKR1|LEKR1",149.290958689572,0.564351386706405,0.232845374620699,2.42371740312954,0.0153625549282626,0.0451974601107641
"RNU1-28P|RNU1-28P",283.051716728538,0.64963267136252,0.162045141917635,4.00896110599056,6.09864592240818e-05,0.000314766867525087
"ABCA1|ABCA1",7391.16174548933,0.560518246041849,0.0294046442855782,19.0622352237317,5.20048978301191e-81,4.85389426633573e-79
"TRIM6-TRIM34|TRIM6-TRIM34",55.7745481565627,1.5795381163128,0.427279550119402,3.6967323052821,0.00021839241650652,0.00101949164303298
"ZHX1-C8orf76|ZHX1-C8orf76",84.0607211971423,-1.41192894081938,0.367619747682033,-3.84073203281942,0.000122667962252862,0.000601833656794258
"ENDOD1|ENDOD1",83148.3811497967,-0.796592747802288,0.00860953713200387,-92.5244569584522,0,0
"OR2A1|OR2A1",109.353705921603,-0.951583356710728,0.271474557679501,-3.50523955115586,0.000456196609702438,0.00200020718858844
"CHURC1-FNTB|CHURC1-FNTB",5207.67478686069,0.765731952571223,0.236414591404919,3.2389369371018,0.00119976097549972,0.00478278115731821
"TNFSF15|TNFSF15",3479.16175465048,0.735643777650514,0.0453154812491223,16.2338290882603,2.90742912846323e-59,1.80550190539268e-57
"CENPN|CENPN",7572.20945152213,-0.843953647693524,0.0306514408092614,-27.5338980945562,6.8992616229652e-167,1.53626844167369e-164
"LPAR3|LPAR3",10051.7403396497,-0.579147925447804,0.0243766916087158,-23.7582660823724,9.02544034586002e-125,1.39286671951406e-122
"SPSB1|SPSB1",299.44685549656,-0.546060058037423,0.170249847304913,-3.20740409863301,0.00133938709218375,0.00527730702878364
"LOC101927078|LOC101927078",219.089193530109,-1.25286116400563,0.193898256046739,-6.46143595898886,1.03714047043312e-10,1.06494785985778e-09
"FAM105A|FAM105A",2273.24101609871,-1.12114892532679,0.0597602186556318,-18.7607902137609,1.58032550797914e-78,1.36847409404838e-76
"PCA3|PCA3",738.345606515541,-0.61479882665637,0.100477208968001,-6.11878885740311,9.4289239010555e-10,8.88564914424136e-09
"EPSTI1|EPSTI1",53.434069425717,-1.02757242266791,0.422266206971325,-2.43347065359102,0.0149548476454361,0.0441734939268554
"SYNJ1|SYNJ1",4262.70381327208,-0.734638899414365,0.0433028386391746,-16.9651441453023,1.4873425477928e-64,1.01236717434264e-62
"ALDH1A3|ALDH1A3",15193.4800536761,-0.501173687575548,0.0195934243078346,-25.5786676030463,2.63547262207465e-144,5.1998875645921e-142
"FRK|FRK",4719.24124487729,-0.604006573717447,0.0388713132875805,-15.5386201965661,1.90030932962814e-54,1.08498613629721e-52
"NUDT4P1|NUDT4P1",967.54646559889,-5.01710219291364,2.02901624457262,-2.47267719336097,0.0134105214560169,0.0401748602604144
"MAK|MAK",433.053977378261,-0.62909860759116,0.131127639802635,-4.79760490265849,1.60574117368909e-06,1.05074255559579e-05
"MAFB|MAFB",2279.5463618626,-0.793159278766086,0.0570812077722453,-13.895278493945,6.76598325875634e-44,3.05685162476044e-42
"KCNK13|KCNK13",95.0081839208665,-0.746721118176911,0.293929714286066,-2.54047509279776,0.0110701978273624,0.0340740864010857
"PRR15L|PRR15L",4716.11208696258,-0.584980119464386,0.037748947434488,-15.4965941892711,3.65774190221426e-54,2.07320811017504e-52
