gene_id,LNCaP_DHT_RNA_rep1_batch,LNCaP_DHT_RNA_rep2_batch,LNCaP_Veh_RNA_rep1_batch,LNCaP_Veh_RNA_rep2_batch
DNALI1|DNALI1,452,479,524,494
SNORD115-25|SNORD115-25,1,1,2,0
C2orf49|C2orf49,5223,5201,5229,5374
SMA5|SMA5,22375,21485,22409,23023
TMX1|TMX1,7940,8015,7518,8023
SAA4|SAA4,0,0,0,0
ZNF14|ZNF14,2664,2571,2621,2710
MGAT5B|MGAT5B,17,12,17,0
KIF21A|KIF21A,9565,9328,11883,12204
LOC100506603|LOC100506603,601,578,544,507
ZNF136|ZNF136,2388,2352,2453,2531
FANCE|FANCE,811,838,738,813
CAPS|CAPS,189,200,185,191
TTR|TTR,90,84,79,88
A1BG-AS1|A1BG-AS1,197,178,136,160
ASGR1|ASGR1,8,11,0,9
HAND2-AS1|HAND2-AS1,0,0,0,0
LINC01446|LINC01446,616,539,619,611
MT1A|MT1A,0,0,0,0
MIR1244-3|MIR1244-3,196,231,209,193
CDR2|CDR2,990,951,877,950
BTN2A1|BTN2A1,2280,2320,2183,2308
MIR548AH|MIR548AH,1,1,0,0
ATG9A|ATG9A,5003,4976,4462,4749
UAP1L1|UAP1L1,2340,2303,1877,1906
LOC101927636|LOC101927636,0,0,0,0
MSLN|MSLN,0,0,0,0
LIME1|LIME1,44,43,32,42
FCER1A|FCER1A,0,0,0,0
USP17L7|USP17L7,60,64,47,60
RSPH14|RSPH14,23,22,22,29
LOC339862|LOC339862,255,246,221,250
MIR3687-2|MIR3687-2,108,109,94,94
GPR158-AS1|GPR158-AS1,13,3,7,5
MIR374B|MIR374B,9,7,5,4
HNRNPCL1|HNRNPCL1,26,22,23,26
OR4D2|OR4D2,0,0,0,0
URM1|URM1,2395,2283,1974,2101
DUOX1|DUOX1,180,187,171,184
TCHP|TCHP,2224,2210,2296,2251
SLC25A22|SLC25A22,664,680,562,543
DEFA3|DEFA3,0,0,0,0
TNFAIP8|TNFAIP8,2117,2091,1073,984
FLJ26850|FLJ26850,4,3,0,4
CXorf65|CXorf65,0,0,0,0
FMR1NB|FMR1NB,60,34,61,49
CCDC159|CCDC159,1422,1359,1245,1280
BEND5|BEND5,61,54,48,45
KRT28|KRT28,0,0,0,0
OSGEPL1|OSGEPL1,1540,1575,1591,1731
CRAMP1|CRAMP1,4812,4920,3985,4260
CDO1|CDO1,0,0,0,0
CASP6|CASP6,1909,1936,1867,1888
NISCH|NISCH,8385,8204,7026,7479
GGT1|GGT1,458,444,428,517
LINC00301|LINC00301,0,0,0,0
PRDM11|PRDM11,282,230,227,252
CCDC92|CCDC92,768,820,653,692
PPP4R3B|PPP4R3B,12360,12127,11456,12063
SLC7A11-AS1|SLC7A11-AS1,278,279,271,224
LOC101241902|LOC101241902,2,5,6,10
WWP1|WWP1,13745,13167,11067,11581
WISP2|WISP2,9,4,7,8
PSMA3|PSMA3,9265,9306,7831,8058
DNMT3L|DNMT3L,7,0,0,5
DSCAM-AS1|DSCAM-AS1,8,0,4,6
SOX12|SOX12,3522,3350,2848,2983
AURKAPS1|AURKAPS1,248,233,202,193
MIR6070|MIR6070,0,2,0,0
IFIH1|IFIH1,1012,996,929,978
ADGRL4|ADGRL4,11,0,0,0
SPNS3|SPNS3,17,12,10,6
PCM1|PCM1,55514,54889,53257,54566
MIR4512|MIR4512,1,2,1,1
SYS1|SYS1,6516,6473,6363,6570
