gene_id,LNCaP_DHT_RNA_rep1_batch,LNCaP_DHT_RNA_rep2_batch,LNCaP_Veh_RNA_rep1_batch,LNCaP_Veh_RNA_rep2_batch
DNALI1|DNALI1,1.269249,1.377358,1.573682,1.450989
SNORD115-25|SNORD115-25,0.048395,0.047082,0.137125,0.0
C2orf49|C2orf49,8.988073,9.130709,9.617184,9.65507
SMA5|SMA5,98.32613699999999,96.95675299999999,105.661373,106.181476
TMX1|TMX1,14.397615,14.883429,14.57566,15.225857
SAA4|SAA4,0.0,0.0,0.0,0.0
ZNF14|ZNF14,6.687471,6.610306,7.035666,7.120623
MGAT5B|MGAT5B,0.02894,0.020372,0.030843,0.0
KIF21A|KIF21A,10.897231,10.881987,14.525096,14.551245999999999
LOC100506603|LOC100506603,2.62787,2.527594,2.534406,2.2748679999999997
ZNF136|ZNF136,5.885952,5.938127,6.464299,6.529727
FANCE|FANCE,2.361607,2.499075,2.29614,2.47578
CAPS|CAPS,0.6525259999999999,0.7108260000000001,0.6870609999999999,0.691439
TTR|TTR,0.714141,0.683926,0.670758,0.73663
A1BG-AS1|A1BG-AS1,0.686349,0.636689,0.504685,0.583583
ASGR1|ASGR1,0.037797,0.050731,0.0,0.041558
HAND2-AS1|HAND2-AS1,0.0,0.0,0.0,0.0
LINC01446|LINC01446,1.315217,1.178255,1.412317,1.365525
MT1A|MT1A,0.0,0.0,0.0,0.0
MIR1244-3|MIR1244-3,17.615096999999995,21.293353,20.026144999999996,18.154897000000002
CDR2|CDR2,2.723797,2.68122,2.580606,2.734967
BTN2A1|BTN2A1,5.792565,5.991320000000001,5.997725,6.1986159999999995
MIR548AH|MIR548AH,0.06527,0.06684,0.0,0.0
ATG9A|ATG9A,9.758002,9.941423,9.299133,9.698276
UAP1L1|UAP1L1,5.17256,5.213382,4.437717,4.408804
LOC101927636|LOC101927636,0.0,0.0,0.0,0.0
MSLN|MSLN,0.0,0.0,0.0,0.0
LIME1|LIME1,0.21751199999999998,0.21711,0.16747,0.217839
FCER1A|FCER1A,0.0,0.0,0.0,0.0
USP17L7|USP17L7,0.276339,0.302779,0.232655,0.291915
RSPH14|RSPH14,0.134631,0.131784,0.135393,0.178253
LOC339862|LOC339862,0.813174,0.803582,0.75351,0.833365
MIR3687-2|MIR3687-2,12.918038,13.223649,11.855150000000002,11.793162999999998
GPR158-AS1|GPR158-AS1,0.038129,0.008171,0.021154,0.012863
MIR374B|MIR374B,0.868088,0.640628,0.458196,0.429722
HNRNPCL1|HNRNPCL1,0.160746,0.13841,0.15298,0.172223
