gene_id,LNCaP_DHT_RNA_rep1,LNCaP_DHT_RNA_rep2,LNCaP_Veh_RNA_rep1,LNCaP_Veh_RNA_rep2
DNALI1|DNALI1,1.532113,1.668524,1.767746,1.683168
SNORD115-25|SNORD115-25,0.058068,0.056917,0.15488,0.0
C2orf49|C2orf49,10.776466,11.01883,10.815732,11.22283
SMA5|SMA5,117.413691,116.523417,118.653368,123.075277
TMX1|TMX1,17.237091,17.970596,16.374098,17.682865
SAA4|SAA4,0.0,0.0,0.0,0.0
ZNF14|ZNF14,7.979984,7.965829,7.915806,8.276561
MGAT5B|MGAT5B,0.034724,0.024628,0.032155,0.0
KIF21A|KIF21A,13.070955,13.15902,16.426224,16.972232
LOC100506603|LOC100506603,2.645024,2.632147,2.427455,2.158506
ZNF136|ZNF136,7.075053,7.172213,7.266762,7.586558
FANCE|FANCE,2.805666,3.012079,2.564893,2.859632
CAPS|CAPS,0.77536,0.848421,0.7620439999999999,0.8027390000000001
TTR|TTR,0.850492,0.800721,0.762905,0.851775
A1BG-AS1|A1BG-AS1,0.820198,0.763187,0.555548,0.669679
ASGR1|ASGR1,0.045352,0.061328,0.0,0.048511
HAND2-AS1|HAND2-AS1,0.0,0.0,0.0,0.0
LINC01446|LINC01446,1.586289,1.413914,1.583536,1.589393
MT1A|MT1A,0.0,0.0,0.0,0.0
MIR1244-3|MIR1244-3,28.153987,25.639438999999996,22.208204000000002,21.007493
CDR2|CDR2,3.246569,3.229829,2.909306,3.171191
BTN2A1|BTN2A1,6.911851,7.227143,6.7247699999999995,7.1764920000000005
MIR548AH|MIR548AH,0.078315,0.080803,0.0,0.0
ATG9A|ATG9A,11.616832,11.944162,10.432124,11.236053
UAP1L1|UAP1L1,6.067618,6.189968,4.925554,5.054057
LOC101927636|LOC101927636,0.0,0.0,0.0,0.0
MSLN|MSLN,0.0,0.0,0.0,0.0
LIME1|LIME1,0.256128,0.26041800000000004,0.18206499999999998,0.253875
FCER1A|FCER1A,0.0,0.0,0.0,0.0
USP17L7|USP17L7,0.324097,0.368609,0.265715,0.335681
RSPH14|RSPH14,0.16154,0.165592,0.159049,0.198396
LOC339862|LOC339862,0.976162,0.969127,0.852056,0.978927
MIR3687-2|MIR3687-2,14.666762000000002,15.46029,12.863527,13.175592
GPR158-AS1|GPR158-AS1,0.045737,0.009877,0.023886,0.015497
MIR374B|MIR374B,1.041592,0.77445,0.517527,0.501617
HNRNPCL1|HNRNPCL1,0.228125,0.2282,0.216704,0.247209
ZNF708|ZNF708,7.366446,7.42928,7.396505,7.926183
URM1|URM1,6.820202,6.5141480000000005,5.437531000000001,6.491822000000001
DUOX1|DUOX1,0.278857,0.302009,0.270239,0.292424
TCHP|TCHP,6.388231,6.553491999999999,6.612549,6.57788
SLC25A22|SLC25A22,2.0598229999999997,2.237668,1.812099,1.707693
DEFA3|DEFA3,0.0,0.0,0.0,0.0
TNFAIP8|TNFAIP8,9.379207000000001,9.370047,4.787658,4.441151
FLJ26850|FLJ26850,0.024537,0.019159,0.0,0.021522
CXorf65|CXorf65,0.0,0.0,0.0,0.0
FMR1NB|FMR1NB,0.52256,0.304344,0.520677,0.427332
CCDC159|CCDC159,11.821604,11.555747,10.415295,10.795621
BEND5|BEND5,0.295609,0.27434800000000004,0.235083,0.21606799999999998
KRT28|KRT28,0.0,0.0,0.0,0.0
OSGEPL1|OSGEPL1,5.91652,6.255589,6.137319,6.771353
CRAMP1|CRAMP1,5.540215,5.853045,4.598732,4.98292
CDO1|CDO1,0.0,0.0,0.0,0.0
CASP6|CASP6,10.378184,10.859179,10.227336999999999,10.453854
NISCH|NISCH,19.186270999999998,19.695336,16.056344,17.536151
GGT1|GGT1,1.606446,1.55092,1.5141520000000002,1.834219
LINC00301|LINC00301,0.0,0.0,0.0,0.0
PRDM11|PRDM11,0.532165,0.192907,0.187615,0.413823
