transcript_id,LNCaP_DHT_RNA_rep1,LNCaP_DHT_RNA_rep2,LNCaP_Veh_RNA_rep1,LNCaP_Veh_RNA_rep2
NM_001003806,27,25,18,16
NM_006737_3,0,0,0,0
NM_001253387,0,0,0,0
NM_001003805,41,25,102,52
NM_001003802,0,7,21,1
NM_001003803,0,0,0,0
NM_001003800,5202,5108,5131,5328
NM_001003801,223,190,212,254
NM_006737_9,0,0,0,0
NM_025260_6,10,0,5,10
NR_037860_2,0,2,2,2
NM_001168531,7,17,15,10
NM_001003809,0,0,0,0
NM_001304464,2528,2727,4578,4786
NM_001304465,15,3,0,1
NM_001304466,2,2,1,1
NM_001304467,1528,1021,1261,1616
NM_001304460,0,0,0,0
NM_001008781,2,4,2,7
NM_001304462,1,0,0,0
NM_001304463,433,445,328,541
NM_006737_7,0,0,0,0
NR_001284_2,0,0,1,1
NR_001284_3,0,0,0,0
NM_001304468,1968,1916,1872,1219
NR_001284_5,0,0,1,1
NR_001284_6,0,0,0,0
NM_012151_3,74,70,66,72
NR_003227,280,392,387,183
NR_003226,333,210,260,512
NR_003225,16,15,0,12
NM_001290300,0,0,0,3
NM_001290307,2654,2820,2052,2524
NM_006737_5,0,0,0,0
NM_001278268,0,0,0,0
NR_131066,0,0,0,0
NM_001278266,6,22,0,0
NM_001278267,2716,2538,2178,2293
NM_001278264,6,7,3,8
NM_001278265,5,2,4,0
NM_001278262,0,1,0,7
NM_001278263,3,3,3,3
NM_001278260,9,31,34,0
NM_001278261,166,100,19,11
NR_027932,0,0,0,0
NM_001469,38288,38378,38297,36979
NM_001466,127,111,111,120
NM_001467,2141,1511,260,1341
NM_001464,377,364,453,398
NM_001465,0,0,4,0
NM_001462,0,0,0,0
NM_001463,11,8,0,4
NM_001460,7,13,9,17
NM_001461,893,844,864,880
NM_001276394,0,0,0,0
NM_007102,0,0,0,0
NM_001164246,406,297,317,257
NM_007100,9701,9508,8999,9445
NM_000335,0,0,0,0
NM_007106,6270,6190,5605,5905
NM_001276392,0,0,58,0
NM_001276393,86,0,49,0
NM_000339,0,12,9,23
NM_000338,0,0,0,0
NM_007109,363,247,225,243
NM_007108,7374,7201,6681,6933
NR_133003,0,0,0,0
NR_133002,0,0,0,0
