transcript_id,LNCaP_DHT_RNA_rep1_batch,LNCaP_DHT_RNA_rep2_batch,LNCaP_Veh_RNA_rep1_batch,LNCaP_Veh_RNA_rep2_batch
NM_001003806,0.15477,0.145925,0.102344,0.092358
NM_006737_3,0.0,0.0,0.0,0.0
NM_001253387,0.0,0.0,0.0,0.0
NM_001003805,0.159006,0.090606,0.376427,0.182069
NM_001003802,0.0,0.01839,0.075209,0.002957
NM_001003803,0.0,0.0,0.0,0.0
NM_001003800,4.853673,4.965798,4.830478,4.981502
NM_001003801,0.733811,0.612757,0.700583,0.837455
NM_006737_9,0.0,0.0,0.0,0.0
NM_025260_6,0.024022,0.0,0.012321,0.0
NR_037860_2,0.0,0.004803,0.007196,0.007466
NM_001168531,0.018902,0.052377,0.045654,0.028816
NM_001003809,0.0,0.0,0.0,0.0
NM_001304464,9.291536,10.391818,16.931789,17.617676
NM_001304465,0.056793,0.006901,0.0,0.0025
NM_001304466,0.004638,0.004741,0.002926,0.001408
NM_001304467,2.479968,1.710951,2.05791,2.601779
NM_001304460,0.0,0.0,0.0,0.0
NM_001008781,0.000382,0.00112,0.000488,0.00212
NM_001304462,1.1e-05,0.0,0.0,0.0
NM_001304463,1.173412,1.323703,0.868008,1.49011
NM_006737_7,0.0,0.0,0.0,0.0
NR_001284_2,0.0,0.0,3e-05,1.9e-05
NR_001284_3,0.0,0.0,0.0,0.0
NM_001304468,3.459535,3.478766,3.31347,2.172554
NR_001284_5,0.0,0.0,5e-05,3.9e-05
NR_001284_6,0.0,0.0,0.0,0.0
NM_012151_3,0.265999,0.254537,0.234628,0.255854
NR_003227,0.569441,0.849243,0.818886,0.377137
NR_003226,0.630522,0.413374,0.483141,0.989548
NR_003225,0.045464,0.046081,0.0,0.034784
NM_001290300,0.0,0.0,0.0,0.00479
NM_001290307,4.087936,4.444588,3.177079,3.88667
NM_006737_5,0.0,0.0,0.0,0.0
NM_001278268,0.0,0.0,0.0,0.0
NR_131066,0.0,0.0,0.0,0.0
NM_001278266,0.010773,0.046509,0.0,0.0
NM_001278267,0.872287,0.844827,0.706149,0.739881
NM_001278264,0.011719,0.013458,0.004973,0.015551
NM_001278265,0.008819,0.004556,0.006679,0.0
NM_001278262,0.0,0.009534,0.0,0.014109
NM_001278263,0.004885,0.00529,0.005298,0.005324
