"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C1orf116|C1orf116",26794.694543654,-1.2697167166258,0.0156033463744288,-81.3746414491348,0,0
"RNF138P1|RNF138P1",3328.23245974138,-1.11854938434444,0.0478939969551645,-23.3546885926343,1.23498320138401e-120,1.85093107307429e-118
"TBX15|TBX15",120.588774566206,-2.54979274163317,0.291209155078901,-8.75588111555874,2.02515094535124e-18,3.67902421738808e-17
"USP43|USP43",3683.63653882861,-1.26694348338383,0.0459762502424433,-27.5564770224398,3.70119608214064e-167,8.36094830903278e-165
"SLC2A3|SLC2A3",55.5140308998389,-5.37496077776996,1.46945496998691,-3.65779209812591,0.000254397263752805,0.00116866788980695
"TRPM8|TRPM8",582.464368876685,-1.67772299708549,0.118888218783636,-14.1117683000934,3.21416133369463e-45,1.49549649875517e-43
"TNS3|TNS3",127.135003740908,-1.19753336905374,0.257451615590278,-4.65148904312786,3.29546787106149e-06,2.06290994804158e-05
"PTGER4|PTGER4",453.966595885418,-1.24313949442914,0.13113633278526,-9.47974880817221,2.54895921536442e-21,5.44255168354592e-20
"SYS1-DBNDD2|SYS1-DBNDD2",56.4710816925997,9.31491126138486,1.49620698746224,6.22568357148509,4.79460889915747e-10,4.66210660705973e-09
"NKX3-1|NKX3-1",61590.0479084835,-2.27201534432367,0.011259456100455,-201.787308734377,0,0
"LOC283683|LOC283683",45.0318607200347,8.98774063398665,1.50048473663121,5.98989140946901,2.09981192551868e-09,1.91402154871694e-08
"LOC101927482|LOC101927482",245.0467752576,-1.42365604195752,0.183232940333149,-7.7696512393954,7.87025214039334e-15,1.13586685289177e-13
"FAM110B|FAM110B",234.005941887896,-1.6617823141524,0.192337828625198,-8.63991408258362,5.62553103417117e-18,9.96422184427569e-17
"SH3D21|SH3D21",283.50130352586,-1.01735059729111,0.166599440207314,-6.10656672090333,1.01797092606731e-09,9.55274703468467e-09
"SNX15|SNX15",818.956121350447,13.1725457950168,1.44524818634327,9.11438320386039,7.9119228960808e-20,1.55123449284543e-18
"MIR6076|MIR6076",58.0794430954825,6.2974005561525,2.33470486636839,2.69730047975959,0.0069904161277291,0.0228522684947386
"LIMS3L|LIMS3L",149.667179844129,3.04176511281716,0.533541964460164,5.70107941911337,1.19051151063996e-08,1.00905399218842e-07
"KL|KL",34.5920961751694,-2.4266716600667,0.569912814550262,-4.25796998788608,2.0629163528869e-05,0.000114470192924344
"RAB4B-EGLN2|RAB4B-EGLN2",105.740397145833,22.9246496804923,4.78526843748359,4.79067161643863,1.662239799383e-06,1.08543492890586e-05
"TMPRSS2|TMPRSS2",43255.5734173389,-2.48895794571282,0.0133018073106095,-187.114268579701,0,0
"RHOU|RHOU",9188.06397124228,-1.38972864461313,0.0272509046602619,-50.9975232726741,0,0
"DOCK4-AS1|DOCK4-AS1",141.275680118106,-1.04903116472526,0.239937131994002,-4.37210846027571,1.23052364863392e-05,7.05931987900513e-05
"TRIM6-TRIM34|TRIM6-TRIM34",55.7745481565627,1.5795381163128,0.427279550119402,3.6967323052821,0.00021839241650652,0.00101949164303298
"ZHX1-C8orf76|ZHX1-C8orf76",84.0607211971423,-1.41192894081938,0.367619747682033,-3.84073203281942,0.000122667962252862,0.000601833656794258
"LOC101927078|LOC101927078",219.089193530109,-1.25286116400563,0.193898256046739,-6.46143595898886,1.03714047043312e-10,1.06494785985778e-09
"FAM105A|FAM105A",2273.24101609871,-1.12114892532679,0.0597602186556318,-18.7607902137609,1.58032550797914e-78,1.36847409404838e-76
"EPSTI1|EPSTI1",53.434069425717,-1.02757242266791,0.422266206971325,-2.43347065359102,0.0149548476454361,0.0441734939268554
"NUDT4P1|NUDT4P1",967.54646559889,-5.01710219291364,2.02901624457262,-2.47267719336097,0.0134105214560169,0.0401748602604144
"EIF3CL|EIF3CL",2592.28730601299,3.15093001019286,1.18567961903336,2.65748854885581,0.00787252649046539,0.025264375212453
"ALPK2|ALPK2",61.0533786551894,-1.61627249174667,0.387048413340238,-4.17589230711009,2.96820228306703e-05,0.000160420835596969
"ISY1-RAB43|ISY1-RAB43",356.749531493526,11.9736301397431,1.94860008737548,6.14473447749357,8.00973878876673e-10,7.58953182373903e-09
"SGK223|SGK223",148.289539990722,-1.80085251019418,0.252375116538776,-7.13561834023954,9.63530203326458e-13,1.17516003749996e-11
"MSH5-SAPCD1|MSH5-SAPCD1",299.614134084759,1.0979197475725,0.169411338916107,6.48079257620524,9.1242037160043e-11,9.39979929420747e-10
"CDRT4|CDRT4",88.6393227709416,1.01047972964543,0.304959357410087,3.31348983099612,0.000921394575678125,0.00377444868622732
"CTBP1-AS|CTBP1-AS",1751.32200761981,-1.47962163392732,0.066803845793168,-22.1487493176424,1.0725524985339e-108,1.47945803492459e-106
"OR52N2|OR52N2",71.3381062973275,-1.1691417567461,0.356147277478569,-3.28274798286631,0.00102800523789519,0.00416195263456423
"LOC101929572|LOC101929572",80.561121334249,-3.33982248513759,0.398902353441937,-8.3725314135649,5.63934840017465e-17,9.35111952271513e-16
"MIR6724-2|MIR6724-2",37.2803602258677,-1.48079835241509,0.51249611487919,-2.8893845424841,0.00385996725582645,0.0135233332471492
"NNMT|NNMT",60.394071539804,-3.19610846523166,0.461228481302807,-6.92955572952429,4.22164296360376e-12,4.82778788508377e-11
"LOC104968399|LOC104968399",107.157659107319,-1.73121324693017,0.71304738459898,-2.42790771598414,0.015186206876156,0.0447715919384611
"C4orf48|C4orf48",143.991458346353,-1.03859489381142,0.245305396109688,-4.23388523156259,2.29688195768413e-05,0.000126017244190153
"ARL2-SNX15|ARL2-SNX15",1225.32250629784,-7.0883649435804,2.57162139022917,-2.75637967957201,0.00584451109565067,0.0195113288601214
"IRS2|IRS2",325.034225725657,-1.32697311432838,0.155553759786547,-8.53063992891768,1.45540373168351e-17,2.51779999619877e-16
"TRIM39-RPP21|TRIM39-RPP21",45.988970674852,-8.91609892187804,1.50107237565542,-5.93981946938765,2.85336118479292e-09,2.56194359374235e-08
"LOC101929148|LOC101929148",55.1373602622838,1.03644521292292,0.406123134925644,2.55204671635532,0.0107092158335025,0.0331528395624237
"RNA5-8S5|RNA5-8S5",44.1053981870824,1.3726605339089,0.456634453982921,3.00603802874726,0.00264675894046849,0.00969793878821869
"BMS1P18|BMS1P18",389.991150309494,-24.6410925258653,4.78488035626146,-5.14978237514762,2.60788874703676e-07,1.90662110225432e-06
"DUSP27|DUSP27",583.492029002177,-1.44732747798449,0.116366923248757,-12.4376191926167,1.63298977179107e-35,5.89199341965449e-34
"DBNDD2|DBNDD2",34.357932186974,-3.96651324589123,0.70418794639885,-5.63274799884833,1.77360529587335e-08,1.47835217897208e-07
"MIR6724-4|MIR6724-4",292.214856333027,-1.14948507055261,0.167651593436678,-6.85639215822171,7.06213467726265e-12,7.93637297869451e-11
"SNAI2|SNAI2",189.023041548195,-3.29137327173544,0.562078763660155,-5.85571539885729,4.7496098262447e-09,4.17788760506073e-08
"AKAP5|AKAP5",6582.09276956566,-1.16554708619723,0.0321665096121054,-36.2348013586962,1.72449692713521e-287,6.71993340081411e-285
"ST6GALNAC1|ST6GALNAC1",161.835810181987,-1.44483552304435,0.225258629017295,-6.41411842621764,1.41640074445595e-10,1.43920719712092e-09
"TRIM53AP|TRIM53AP",40.3429571784229,-1.84583041059705,0.502924021198848,-3.67019735147476,0.00024236327596261,0.00111932337257162
"WWTR1|WWTR1",240.980794686955,-1.48582975106112,0.187862412838271,-7.90913801549145,2.59177154519499e-15,3.87324478187482e-14
"KCNG3|KCNG3",832.018867659654,-1.53396881029594,0.101280791792238,-15.1457031797563,8.08848447187455e-52,4.30290810454296e-50
"NPPC|NPPC",55.8788562855672,-2.74592180414121,0.457686430896079,-5.99957005228476,1.97840665855669e-09,1.8097080156645e-08
"SLC45A3|SLC45A3",8836.35199401178,-1.84944551761243,0.0297915211398065,-62.0795933491715,0,0
"SLC38A4|SLC38A4",79.052676012305,-2.08874684301046,0.370228916695102,-5.64177120916416,1.68309658820642e-08,1.40441255462385e-07
"DSC1|DSC1",99.3361653490613,-1.07148318132151,0.305374024100984,-3.50875679251348,0.000450206386709259,0.00197672308440485
"MAF|MAF",1771.1246646329,-1.41706435392372,0.0666294233661351,-21.2678465808838,2.25392635257833e-100,2.76629528012901e-98
"LBH|LBH",165.729686633596,-1.04661672333068,0.220847312902229,-4.73909648062608,2.14673278401587e-06,1.37813525141908e-05
"BAGE4|BAGE4",291.415200911737,-5.02368581928869,1.90713047162547,-2.63415948412116,0.00843458593767449,0.0268525104188179
"CHKB-CPT1B|CHKB-CPT1B",637.084223865111,-1.78747207396817,0.43649729053014,-4.09503589769647,4.22102980370587e-05,0.000222199228471339
"ZBTB16|ZBTB16",9010.04750712909,-1.63087864396136,0.0274884841266994,-59.3295227355697,0,0
"STEAP4|STEAP4",52.0987599687443,-2.63313600520777,0.469782530902239,-5.60501047186814,2.08242373684818e-08,1.72194900722825e-07
"CCDC152|CCDC152",234.323947065327,-1.86059453069112,0.462823583205883,-4.02009447704278,5.81748069716661e-05,0.000301044854728027
"FAM225A|FAM225A",80.8297117215907,-1.08940559656746,0.330057357242487,-3.30065539416864,0.000964592801613179,0.00393294227793805
"DYX1C1-CCPG1|DYX1C1-CCPG1",2735.96901563739,14.9128102733284,1.44362727161878,10.3300973641252,5.15082757793185e-25,1.30334333534454e-23
"GSTT2B|GSTT2B",56.6253632161595,1.14632648801158,0.442833118715713,2.58861959407218,0.00963614794672897,0.0301240750191866
"POTEH-AS1|POTEH-AS1",89.9583750686506,-2.97524092006422,0.665948833861928,-4.46767194231783,7.90754474570499e-06,4.66521195879272e-05
"ZNF625-ZNF20|ZNF625-ZNF20",141.424501393559,23.3296086287158,4.78513409908199,4.87543465776467,1.08569130401608e-06,7.29111174308432e-06
"KCNN2|KCNN2",4694.86378344258,-1.03860618628148,0.0388004313172055,-26.7679031140287,7.64261985764726e-158,1.63185637974175e-155
"KLK2|KLK2",2609.27991665526,-1.42488823571162,0.0540634554516317,-26.3558483971933,4.39835601263156e-153,9.02068094327476e-151
"LOC440910|LOC440910",65.9752998244024,-1.18250413937578,0.362004735427895,-3.26654328976677,0.0010886916114582,0.00437920932846425
"MAGEA2B|MAGEA2B",113.03614414632,-1.06505424830354,0.278675142689901,-3.8218487591794,0.000132454919774583,0.00064538131745121
"UBE2F-SCLY|UBE2F-SCLY",74.7002107186479,-1.59143660907552,0.357574236179823,-4.45064674143689,8.56120707057418e-06,5.0242294657018e-05
"LOC100508046|LOC100508046",111.651045502423,-3.17322405404717,0.331743614903166,-9.56529051802072,1.11886790569749e-21,2.44254818572925e-20
"TRIM49D1|TRIM49D1",63.7317795944106,-9.38636524473988,1.48322456213271,-6.32835073284071,2.47795399095165e-10,2.46640286442933e-09
"DYX1C1|DYX1C1",757.358012370377,-1.47754642734581,0.102655992371115,-14.3931824457386,5.71064922676127e-47,2.76434439433316e-45
"ARHGAP24|ARHGAP24",62.2311893549157,-1.02972082475944,0.380633066843599,-2.70528473340062,0.00682458647283769,0.0223772105846808
