gene_id,LNCaP_DHT_RNA_rep1,LNCaP_DHT_RNA_rep2,LNCaP_Veh_RNA_rep1,LNCaP_Veh_RNA_rep2
DNALI1|DNALI1,682,720,782,736
SNORD115-25|SNORD115-25,1,1,3,0
C2orf49|C2orf49,7828,7787,7812,8027
SMA5|SMA5,33399,32039,33420,34286
TMX1|TMX1,11883,12007,11215,11973
SAA4|SAA4,0,0,0,0
ZNF14|ZNF14,3973,3844,3916,4047
MGAT5B|MGAT5B,25,18,23,0
KIF21A|KIF21A,14344,13995,17847,18292
LOC100506603|LOC100506603,757,746,692,619
ZNF136|ZNF136,3588,3525,3661,3779
FANCE|FANCE,1205,1254,1094,1206
CAPS|CAPS,281,296,271,284
TTR|TTR,133,122,119,131
A1BG-AS1|A1BG-AS1,294,265,198,236
ASGR1|ASGR1,12,16,0,13
HAND2-AS1|HAND2-AS1,0,0,0,0
LINC01446|LINC01446,929,803,921,914
MT1A|MT1A,0,0,0,0
MIR1244-3|MIR1244-3,391,344,307,287
CDR2|CDR2,1474,1422,1313,1415
BTN2A1|BTN2A1,3399,3467,3247,3431
MIR548AH|MIR548AH,2,2,0,0
ATG9A|ATG9A,7445,7417,6647,7070
UAP1L1|UAP1L1,3431,3392,2767,2807
LOC101927636|LOC101927636,0,0,0,0
MSLN|MSLN,0,0,0,0
LIME1|LIME1,64,63,45,63
FCER1A|FCER1A,0,0,0,0
USP17L7|USP17L7,87,96,71,89
RSPH14|RSPH14,34,34,34,41
LOC339862|LOC339862,383,368,332,377
MIR3687-2|MIR3687-2,153,156,133,136
GPR158-AS1|GPR158-AS1,19,4,10,7
MIR374B|MIR374B,13,10,7,6
HNRNPCL1|HNRNPCL1,45,44,43,48
ZNF708|ZNF708,4957,4850,4950,5239
URM1|URM1,3563,3397,2932,3109
DUOX1|DUOX1,267,280,257,275
TCHP|TCHP,3329,3309,3422,3365
SLC25A22|SLC25A22,972,1006,833,794
DEFA3|DEFA3,0,0,0,0
TNFAIP8|TNFAIP8,3170,3128,1606,1475
FLJ26850|FLJ26850,6,5,0,6
CXorf65|CXorf65,0,0,0,0
FMR1NB|FMR1NB,90,51,89,73
CCDC159|CCDC159,2112,2001,1849,1894
BEND5|BEND5,92,81,70,66
KRT28|KRT28,0,0,0,0
OSGEPL1|OSGEPL1,2303,2360,2373,2588
CRAMP1|CRAMP1,7143,7314,5891,6310
CDO1|CDO1,0,0,0,0
CASP6|CASP6,2847,2887,2770,2808
NISCH|NISCH,12478,12226,10396,11067
GGT1|GGT1,678,661,637,770
LINC00301|LINC00301,0,0,0,0
PRDM11|PRDM11,421,338,337,374
CCDC92|CCDC92,1150,1225,966,1039
PPP4R3B|PPP4R3B,18518,18155,17100,18017
SLC7A11-AS1|SLC7A11-AS1,422,425,404,331
LOC101241902|LOC101241902,3,8,9,15
WWP1|WWP1,20551,19711,16522,17259
WISP2|WISP2,14,6,11,11
PSMA3|PSMA3,13891,13939,11689,12058
DNMT3L|DNMT3L,11,0,0,7
DSCAM-AS1|DSCAM-AS1,11,0,5,9
SOX12|SOX12,5203,4962,4189,4400
AURKAPS1|AURKAPS1,373,348,305,292
MIR6070|MIR6070,0,3,0,0
IFIH1|IFIH1,1522,1489,1402,1464
ADGRL4|ADGRL4,17,0,0,0
SPNS3|SPNS3,25,18,15,9
PCM1|PCM1,83132,82248,79612,81604
MIR4512|MIR4512,2,3,1,1
SYS1|SYS1,9744,9653,9483,9800
C1orf228|C1orf228,270,279,265,263
NRL|NRL,148,138,78,141
LOC101927766|LOC101927766,0,0,0,0
TMEM63A|TMEM63A,3065,2983,2596,2618
LOC101928418|LOC101928418,0,0,0,0
MEGF10|MEGF10,56,56,71,66
GOLGA2P7|GOLGA2P7,3517,3355,2662,2823
MIR4666A|MIR4666A,1,0,2,0
SIRT2|SIRT2,4223,4041,3919,3768
MIR1183|MIR1183,3,2,4,6
SLC25A26|SLC25A26,3363,3344,3111,3151
MIR519A1|MIR519A1,0,0,0,0
TRIM38|TRIM38,8891,8773,9144,9518
AKNA|AKNA,557,531,415,437
KLHL21|KLHL21,6435,6605,6109,6222
