gene_id,LNCaP_DHT_RNA_rep1,LNCaP_DHT_RNA_rep2,LNCaP_Veh_RNA_rep1,LNCaP_Veh_RNA_rep2
DNALI1|DNALI1,1.283763,1.384934,1.576121,1.458789
SNORD115-25|SNORD115-25,0.048655,0.047243,0.138091,0.0
C2orf49|C2orf49,9.029645,9.146016,9.643298,9.726744
SMA5|SMA5,98.381411,96.718536,105.791256,106.668425
TMX1|TMX1,14.443029,14.916226,14.599133,15.325608
SAA4|SAA4,0.0,0.0,0.0,0.0
ZNF14|ZNF14,6.686461,6.611918,7.057728,7.173234
MGAT5B|MGAT5B,0.029096,0.020442,0.02867,0.0
KIF21A|KIF21A,10.952207,10.922450999999999,14.645610000000001,14.709709
LOC100506603|LOC100506603,2.216276,2.184774,2.164317,1.870761
ZNF136|ZNF136,5.928216,5.953189,6.47904,6.575213
FANCE|FANCE,2.350879,2.500131,2.286857,2.478422
CAPS|CAPS,0.6496770000000001,0.7042189999999999,0.679438,0.695728
TTR|TTR,0.712631,0.664626,0.680206,0.738227
A1BG-AS1|A1BG-AS1,0.687247,0.633472,0.495326,0.580406
ASGR1|ASGR1,0.038001,0.050905,0.0,0.042044
HAND2-AS1|HAND2-AS1,0.0,0.0,0.0,0.0
LINC01446|LINC01446,1.329158,1.173599,1.411879,1.377515
MT1A|MT1A,0.0,0.0,0.0,0.0
MIR1244-3|MIR1244-3,23.590338,21.281635,19.800818999999997,18.207038999999998
CDR2|CDR2,2.720314,2.680872,2.593935,2.748447
BTN2A1|BTN2A1,5.791469,5.998781999999999,5.9958,6.219812000000001
MIR548AH|MIR548AH,0.065621,0.067069,0.0,0.0
ATG9A|ATG9A,9.733791,9.914074,9.301273,9.738204
UAP1L1|UAP1L1,5.084083,5.137891,4.39162,4.380313
LOC101927636|LOC101927636,0.0,0.0,0.0,0.0
MSLN|MSLN,0.0,0.0,0.0,0.0
LIME1|LIME1,0.21461000000000002,0.21615600000000001,0.162328,0.220032
FCER1A|FCER1A,0.0,0.0,0.0,0.0
USP17L7|USP17L7,0.271563,0.305959,0.236911,0.290933
RSPH14|RSPH14,0.135355,0.137447,0.141808,0.171948
LOC339862|LOC339862,0.81793,0.804409,0.759693,0.848428
MIR3687-2|MIR3687-2,12.28934,12.832585,11.469111999999999,11.419189
GPR158-AS1|GPR158-AS1,0.038323,0.008199,0.021297,0.013431
MIR374B|MIR374B,0.872754,0.642821,0.461426,0.434748
HNRNPCL1|HNRNPCL1,0.191147,0.189414,0.193213,0.214254
ZNF708|ZNF708,6.172375000000001,6.166563000000001,6.594718,6.8695640000000004
URM1|URM1,5.714675,5.406972,4.848098,5.626412999999999
DUOX1|DUOX1,0.233655,0.250678,0.240945,0.253442
TCHP|TCHP,5.3527249999999995,5.439629,5.8957429999999995,5.700999
SLC25A22|SLC25A22,1.725934,1.857343,1.6156679999999999,1.480045
DEFA3|DEFA3,0.0,0.0,0.0,0.0
TNFAIP8|TNFAIP8,7.858875,7.777468000000001,4.268672,3.849111
FLJ26850|FLJ26850,0.02056,0.015902,0.0,0.018653
CXorf65|CXorf65,0.0,0.0,0.0,0.0
FMR1NB|FMR1NB,0.437855,0.252616,0.464235,0.370365
CCDC159|CCDC159,9.90537,9.591676,9.286269,9.356484
BEND5|BEND5,0.247693,0.227719,0.2096,0.187264
KRT28|KRT28,0.0,0.0,0.0,0.0
OSGEPL1|OSGEPL1,4.957476,5.192359,5.472029,5.868682
CRAMP1|CRAMP1,4.642169,4.858232,4.100225,4.318659
CDO1|CDO1,0.0,0.0,0.0,0.0
CASP6|CASP6,8.695923,9.0135,9.118686,9.060277
NISCH|NISCH,16.076255,16.347822,14.315826000000001,15.198452
GGT1|GGT1,1.3460480000000001,1.287318,1.350016,1.5897039999999998
LINC00301|LINC00301,0.0,0.0,0.0,0.0
PRDM11|PRDM11,0.445902,0.16012,0.167278,0.358658
CCDC92|CCDC92,2.9877909999999996,3.2799519999999998,2.67924,2.835625
PPP4R3B|PPP4R3B,16.591361,16.64178,16.408007,16.995181
SLC7A11-AS1|SLC7A11-AS1,0.45146,0.464655,0.462618,0.372985
LOC101241902|LOC101241902,0.009537,0.024769,0.030432,0.050903
WWP1|WWP1,24.966469,24.474546,21.497648,22.080988
WISP2|WISP2,0.04774,0.01975,0.039717,0.039278
PSMA3|PSMA3,70.132,71.92951199999999,63.228099,64.126328
DNMT3L|DNMT3L,0.029438,0.0,0.0,0.020534
DSCAM-AS1|DSCAM-AS1,0.047147,0.0,0.016284,0.035887
SOX12|SOX12,5.570189,5.429008,4.802783,4.960565
AURKAPS1|AURKAPS1,1.208835,1.152844,1.056983,0.995451
MIR6070|MIR6070,0.0,0.109863,0.0,0.0
IFIH1|IFIH1,2.108048,2.107009,2.079386,2.13464
ADGRL4|ADGRL4,0.022683,0.0,0.0,0.0
SPNS3|SPNS3,0.06423,0.046099,0.040518,0.024304
PCM1|PCM1,47.413202,47.909909999999996,48.575807000000005,48.949132000000006
MIR4512|MIR4512,0.067359,0.164172,0.026359,0.013642
SYS1|SYS1,17.284402,17.514776,18.020121,18.315576999999998
C1orf228|C1orf228,0.798125,0.842666,0.838056,0.818
NRL|NRL,0.372602,0.355656,0.210837,0.373226
LOC101927766|LOC101927766,0.0,0.0,0.0,0.0
