gene_id,chrom,start,end,enhancer_chrom,enhancer_start,enhancer_end,start_distance,end_distance,overlap
RPL13AP20,chr12,12875477,12876136,chr12,12883466,12883467,7989,7331,No
RPL13AP20,chr12,12875477,12876136,chr12,12883466,12883467,7989,7331,No
SCARNA21,chr17,7906123,7906260,chr17,7903850,7903851,-2273,-2409,No
CCDC149,chr4,24808389,24808391,chr4,24805307,24805308,-3082,-3083,No
LINC00667,chr18,5243594,5246506,chr18,5246348,5246349,2754,-157,Yes
LINC00667,chr18,5243594,5246506,chr18,5246348,5246349,2754,-157,No
RWDD2A,chr6,83196270,83196272,chr6,83188672,83188673,-7598,-7599,No
DPM3,chr1,155139962,155139964,chr1,155131462,155131463,-8500,-8501,No
DPM3,chr1,155139962,155139964,chr1,155131462,155131463,-8500,-8501,No
PRPF38B,chr1,108699162,108701800,chr1,108700185,108700186,1023,-1614,Yes
PRPF38B,chr1,108699162,108701800,chr1,108700185,108700186,1023,-1614,No
PPP4R2,chr3,73065720,73065722,chr3,73069436,73069437,3716,3715,No
CCDC174,chr3,14671192,14671194,chr3,14677263,14677264,6071,6070,No
CDKN1A,chr6,36685798,36685800,chr6,36679515,36679516,-6283,-6284,No
CHCHD4,chr3,14112887,14112889,chr3,14117988,14117989,5101,5100,No
SNRPB2,chr20,16741003,16741005,chr20,16740845,16740846,-158,-159,No
ZDHHC6,chr10,112430804,112430806,chr10,112440584,112440585,9780,9779,No
EFCAB14,chr1,46678461,46678463,chr1,46681909,46681910,3448,3447,No
FAM96B,chr16,66934257,66934423,chr16,66937350,66937351,3093,2928,No
