ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT
AKAP5	A-kinase anchoring protein 5(AKAP5)	Homo sapiens	GO:0007165~signal transduction,GO:0007193~adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway,GO:0007194~negative regulation of adenylate cyclase activity,GO:0007268~chemical synaptic transmission,GO:0010738~regulation of protein kinase A signaling,GO:0045762~positive regulation of adenylate cyclase activity,GO:0070886~positive regulation of calcineurin-NFAT signaling cascade,GO:1900273~positive regulation of long-term synaptic potentiation,GO:1901387~positive regulation of voltage-gated calcium channel activity,GO:1903078~positive regulation of protein localization to plasma membrane,GO:1905665~positive regulation of calcium ion import across plasma membrane,GO:1905751~positive regulation of endosome to plasma membrane protein transport,	GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0008287~protein serine/threonine phosphatase complex,GO:0009898~cytoplasmic side of plasma membrane,GO:0014069~postsynaptic density,GO:0032590~dendrite membrane,GO:0043197~dendritic spine,GO:0045121~membrane raft,GO:0060076~excitatory synapse,GO:0098837~postsynaptic recycling endosome,	GO:0005515~protein binding,GO:0005516~calmodulin binding,GO:0008179~adenylate cyclase binding,GO:0017124~SH3 domain binding,GO:0030346~protein phosphatase 2B binding,GO:0031698~beta-2 adrenergic receptor binding,GO:0034237~protein kinase A regulatory subunit binding,GO:0035254~glutamate receptor binding,GO:0050811~GABA receptor binding,GO:0051018~protein kinase A binding,GO:0060090~binding, bridging,GO:0097110~scaffold protein binding,
BCL2	BCL2 apoptosis regulator(BCL2)	Homo sapiens	GO:0000082~G1/S transition of mitotic cell cycle,GO:0000209~protein polyubiquitination,GO:0001503~ossification,GO:0001541~ovarian follicle development,GO:0001656~metanephros development,GO:0001658~branching involved in ureteric bud morphogenesis,GO:0001662~behavioral fear response,GO:0001782~B cell homeostasis,GO:0001783~B cell apoptotic process,GO:0001836~release of cytochrome c from mitochondria,GO:0001952~regulation of cell-matrix adhesion,GO:0002320~lymphoid progenitor cell differentiation,GO:0002326~B cell lineage commitment,GO:0002903~negative regulation of B cell apoptotic process,GO:0002931~response to ischemia,GO:0003014~renal system process,GO:0006470~protein dephosphorylation,GO:0006582~melanin metabolic process,GO:0006808~regulation of nitrogen utilization,GO:0006915~apoptotic process,GO:0006959~humoral immune response,GO:0006974~cellular response to DNA damage stimulus,GO:0007015~actin filament organization,GO:0007409~axonogenesis,GO:0007565~female pregnancy,GO:0007569~cell aging,GO:0008283~cell proliferation,GO:0008284~positive regulation of cell proliferation,GO:0008584~male gonad development,GO:0008625~extrinsic apoptotic signaling pathway via death domain receptors,GO:0008630~intrinsic apoptotic signaling pathway in response to DNA damage,GO:0008631~intrinsic apoptotic signaling pathway in response to oxidative stress,GO:0009314~response to radiation,GO:0009410~response to xenobiotic stimulus,GO:0009636~response to toxic substance,GO:0009791~post-embryonic development,GO:0010039~response to iron ion,GO:0010224~response to UV-B,GO:0010332~response to gamma radiation,GO:0010468~regulation of gene expression,GO:0010507~negative regulation of autophagy,GO:0010523~negative regulation of calcium ion transport into cytosol,GO:0010559~regulation of glycoprotein biosynthetic process,GO:0014031~mesenchymal cell development,GO:0014042~positive regulation of neuron maturation,GO:0014909~smooth muscle cell migration,GO:0014911~positive regulation of smooth muscle cell migration,GO:0018105~peptidyl-serine phosphorylation,GO:0018107~peptidyl-threonine phosphorylation,GO:0021747~cochlear nucleus development,GO:0022612~gland morphogenesis,GO:0022898~regulation of transmembrane transporter activity,GO:0030279~negative regulation of ossification,GO:0030307~positive regulation of cell growth,GO:0030308~negative regulation of cell growth,GO:0030318~melanocyte differentiation,GO:0030336~negative regulation of cell migration,GO:0030890~positive regulation of B cell proliferation,GO:0031069~hair follicle morphogenesis,GO:0031103~axon regeneration,GO:0031647~regulation of protein stability,GO:0032469~endoplasmic reticulum calcium ion homeostasis,GO:0032835~glomerulus development,GO:0032848~negative regulation of cellular pH reduction,GO:0032880~regulation of protein localization,GO:0033028~myeloid cell apoptotic process,GO:0033033~negative regulation of myeloid cell apoptotic process,GO:0033077~T cell differentiation in thymus,GO:0033138~positive regulation of peptidyl-serine phosphorylation,GO:0033687~osteoblast proliferation,GO:0033689~negative regulation of osteoblast proliferation,GO:0034097~response to cytokine,GO:0035094~response to nicotine,GO:0035265~organ growth,GO:0040018~positive regulation of multicellular organism growth,GO:0042100~B cell proliferation,GO:0042149~cellular response to glucose starvation,GO:0042542~response to hydrogen peroxide,GO:0042551~neuron maturation,GO:0043029~T cell homeostasis,GO:0043065~positive regulation of apoptotic process,GO:0043066~negative regulation of apoptotic process,GO:0043085~positive regulation of catalytic activity,GO:0043200~response to amino acid,GO:0043375~CD8-positive, alpha-beta T cell lineage commitment,GO:0043524~negative regulation of neuron apoptotic process,GO:0043583~ear development,GO:0045069~regulation of viral genome replication,GO:0045636~positive regulation of melanocyte differentiation,GO:0046666~retinal cell programmed cell death,GO:0046671~negative regulation of retinal cell programmed cell death,GO:0046902~regulation of mitochondrial membrane permeability,GO:0048041~focal adhesion assembly,GO:0048536~spleen development,GO:0048538~thymus development,GO:0048546~digestive tract morphogenesis,GO:0048599~oocyte development,GO:0048741~skeletal muscle fiber development,GO:0048743~positive regulation of skeletal muscle fiber development,GO:0048753~pigment granule organization,GO:0048864~stem cell development,GO:0048873~homeostasis of number of cells within a tissue,GO:0050853~B cell receptor signaling pathway,GO:0051384~response to glucocorticoid,GO:0051402~neuron apoptotic process,GO:0051607~defense response to virus,GO:0051881~regulation of mitochondrial membrane potential,GO:0051902~negative regulation of mitochondrial depolarization,GO:0051924~regulation of calcium ion transport,GO:0060218~hematopoietic stem cell differentiation,GO:0060402~calcium ion transport into cytosol,GO:0070059~intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,GO:0070231~T cell apoptotic process,GO:0070233~negative regulation of T cell apoptotic process,GO:0071310~cellular response to organic substance,GO:0071456~cellular response to hypoxia,GO:0072593~reactive oxygen species metabolic process,GO:0080135~regulation of cellular response to stress,GO:0097048~dendritic cell apoptotic process,GO:0097049~motor neuron apoptotic process,GO:0097192~extrinsic apoptotic signaling pathway in absence of ligand,GO:0098609~cell-cell adhesion,GO:1902166~negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,GO:1904019~epithelial cell apoptotic process,GO:1904036~negative regulation of epithelial cell apoptotic process,GO:2000134~negative regulation of G1/S transition of mitotic cell cycle,GO:2000378~negative regulation of reactive oxygen species metabolic process,GO:2000669~negative regulation of dendritic cell apoptotic process,GO:2000672~negative regulation of motor neuron apoptotic process,GO:2000811~negative regulation of anoikis,GO:2001234~negative regulation of apoptotic signaling pathway,GO:2001240~negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,GO:2001243~negative regulation of intrinsic apoptotic signaling pathway,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005741~mitochondrial outer membrane,GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0005829~cytosol,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0031965~nuclear membrane,GO:0032991~macromolecular complex,GO:0043209~myelin sheath,GO:0046930~pore complex,GO:0097138~BAD-BCL-2 complex,	GO:0002020~protease binding,GO:0005515~protein binding,GO:0015267~channel activity,GO:0016248~channel inhibitor activity,GO:0031625~ubiquitin protein ligase binding,GO:0042802~identical protein binding,GO:0042803~protein homodimerization activity,GO:0043565~sequence-specific DNA binding,GO:0046982~protein heterodimerization activity,GO:0051434~BH3 domain binding,GO:0051721~protein phosphatase 2A binding,GO:0060090~binding, bridging,
BBS4	Bardet-Biedl syndrome 4(BBS4)	Homo sapiens	GO:0000226~microtubule cytoskeleton organization,GO:0000281~mitotic cytokinesis,GO:0001764~neuron migration,GO:0001843~neural tube closure,GO:0001895~retina homeostasis,GO:0001947~heart looping,GO:0003085~negative regulation of systemic arterial blood pressure,GO:0007098~centrosome cycle,GO:0007286~spermatid development,GO:0007601~visual perception,GO:0007608~sensory perception of smell,GO:0010467~gene expression,GO:0010629~negative regulation of gene expression,GO:0015031~protein transport,GO:0016358~dendrite development,GO:0019216~regulation of lipid metabolic process,GO:0021591~ventricular system development,GO:0021756~striatum development,GO:0021766~hippocampus development,GO:0021987~cerebral cortex development,GO:0030534~adult behavior,GO:0030837~negative regulation of actin filament polymerization,GO:0032402~melanosome transport,GO:0032465~regulation of cytokinesis,GO:0033365~protein localization to organelle,GO:0034260~negative regulation of GTPase activity,GO:0034454~microtubule anchoring at centrosome,GO:0035176~social behavior,GO:0035845~photoreceptor cell outer segment organization,GO:0038108~negative regulation of appetite by leptin-mediated signaling pathway,GO:0040018~positive regulation of multicellular organism growth,GO:0045444~fat cell differentiation,GO:0045494~photoreceptor cell maintenance,GO:0045724~positive regulation of cilium assembly,GO:0046548~retinal rod cell development,GO:0046907~intracellular transport,GO:0048854~brain morphogenesis,GO:0050893~sensory processing,GO:0051457~maintenance of protein location in nucleus,GO:0051492~regulation of stress fiber assembly,GO:0060271~cilium assembly,GO:0060296~regulation of cilium beat frequency involved in ciliary motility,GO:0060324~face development,GO:0060613~fat pad development,GO:0061512~protein localization to cilium,GO:0071539~protein localization to centrosome,GO:1902855~regulation of non-motile cilium assembly,GO:1903546~protein localization to photoreceptor outer segment,GO:1905515~non-motile cilium assembly,	GO:0000242~pericentriolar material,GO:0001750~photoreceptor outer segment,GO:0001917~photoreceptor inner segment,GO:0005634~nucleus,GO:0005813~centrosome,GO:0005814~centriole,GO:0005815~microtubule organizing center,GO:0005829~cytosol,GO:0005929~cilium,GO:0016021~integral component of membrane,GO:0031514~motile cilium,GO:0032391~photoreceptor connecting cilium,GO:0034451~centriolar satellite,GO:0034464~BBSome,GO:0035869~ciliary transition zone,GO:0036064~ciliary basal body,GO:0060170~ciliary membrane,GO:0097730~non-motile cilium,	GO:0005515~protein binding,GO:0030674~protein binding, bridging,GO:0034452~dynactin binding,GO:0043014~alpha-tubulin binding,GO:0048487~beta-tubulin binding,GO:0061629~RNA polymerase II sequence-specific DNA binding transcription factor binding,
CEBPD	CCAAT enhancer binding protein delta(CEBPD)	Homo sapiens	GO:0002244~hematopoietic progenitor cell differentiation,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006366~transcription from RNA polymerase II promoter,GO:0045444~fat cell differentiation,GO:0045595~regulation of cell differentiation,GO:0045669~positive regulation of osteoblast differentiation,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048839~inner ear development,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0090575~RNA polymerase II transcription factor complex,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0005515~protein binding,GO:0042802~identical protein binding,GO:1990837~sequence-specific double-stranded DNA binding,
EFCAB14	EF-hand calcium binding domain 14(EFCAB14)	Homo sapiens		GO:0016021~integral component of membrane,	GO:0005509~calcium ion binding,
HAUS3	HAUS augmin like complex subunit 3(HAUS3)	Homo sapiens	GO:0007098~centrosome cycle,GO:0051225~spindle assembly,GO:0051301~cell division,	GO:0005654~nucleoplasm,GO:0005739~mitochondrion,GO:0005813~centrosome,GO:0005829~cytosol,GO:0015630~microtubule cytoskeleton,GO:0045171~intercellular bridge,GO:0070652~HAUS complex,GO:0072686~mitotic spindle,GO:1990498~mitotic spindle microtubule,	GO:0005515~protein binding,
KLF6	KLF transcription factor 6(KLF6)	Homo sapiens	GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0030183~B cell differentiation,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,	GO:0000785~chromatin,GO:0001650~fibrillar center,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005829~cytosol,GO:0043231~intracellular membrane-bounded organelle,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0005515~protein binding,GO:0046872~metal ion binding,GO:1990837~sequence-specific double-stranded DNA binding,
MAFB	MAF bZIP transcription factor B(MAFB)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006355~regulation of transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0007379~segment specification,GO:0007423~sensory organ development,GO:0007585~respiratory gaseous exchange,GO:0016485~protein processing,GO:0021571~rhombomere 5 development,GO:0021572~rhombomere 6 development,GO:0021599~abducens nerve formation,GO:0030216~keratinocyte differentiation,GO:0033077~T cell differentiation in thymus,GO:0035284~brain segmentation,GO:0042472~inner ear morphogenesis,GO:0045444~fat cell differentiation,GO:0045637~regulation of myeloid cell differentiation,GO:0045647~negative regulation of erythrocyte differentiation,GO:0045671~negative regulation of osteoclast differentiation,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048538~thymus development,GO:1903575~cornified envelope assembly,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0090575~RNA polymerase II transcription factor complex,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0005515~protein binding,GO:0042802~identical protein binding,GO:0043565~sequence-specific DNA binding,GO:0044877~macromolecular complex binding,
NFKBIA	NFKB inhibitor alpha(NFKBIA)	Homo sapiens	GO:0006606~protein import into nucleus,GO:0006915~apoptotic process,GO:0007219~Notch signaling pathway,GO:0007249~I-kappaB kinase/NF-kappaB signaling,GO:0007253~cytoplasmic sequestering of NF-kappaB,GO:0010745~negative regulation of macrophage derived foam cell differentiation,GO:0010875~positive regulation of cholesterol efflux,GO:0010888~negative regulation of lipid storage,GO:0031663~lipopolysaccharide-mediated signaling pathway,GO:0032088~negative regulation of NF-kappaB transcription factor activity,GO:0032270~positive regulation of cellular protein metabolic process,GO:0032495~response to muramyl dipeptide,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0034142~toll-like receptor 4 signaling pathway,GO:0035994~response to muscle stretch,GO:0038061~NIK/NF-kappaB signaling,GO:0042127~regulation of cell proliferation,GO:0042994~cytoplasmic sequestering of transcription factor,GO:0043330~response to exogenous dsRNA,GO:0043392~negative regulation of DNA binding,GO:0045638~negative regulation of myeloid cell differentiation,GO:0045746~negative regulation of Notch signaling pathway,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0050729~positive regulation of inflammatory response,GO:0050853~B cell receptor signaling pathway,GO:0051247~positive regulation of protein metabolic process,GO:0060261~positive regulation of transcription initiation from RNA polymerase II promoter,GO:0070417~cellular response to cold,GO:0070427~nucleotide-binding oligomerization domain containing 1 signaling pathway,GO:0070431~nucleotide-binding oligomerization domain containing 2 signaling pathway,GO:0071356~cellular response to tumor necrosis factor,GO:1901222~regulation of NIK/NF-kappaB signaling,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0033256~I-kappaB/NF-kappaB complex,	GO:0005515~protein binding,GO:0008134~transcription factor binding,GO:0008139~nuclear localization sequence binding,GO:0019899~enzyme binding,GO:0031625~ubiquitin protein ligase binding,GO:0042802~identical protein binding,GO:0051059~NF-kappaB binding,
PITHD1	PITH domain containing 1(PITHD1)	Homo sapiens	GO:0007286~spermatid development,GO:0007341~penetration of zona pellucida,GO:0045654~positive regulation of megakaryocyte differentiation,GO:0045893~positive regulation of transcription, DNA-templated,GO:0061136~regulation of proteasomal protein catabolic process,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0097598~sperm cytoplasmic droplet,
