gene_id, baseMean, log2FoldChange, lfcSE, stat, pvalue, padj, chrom, start, end
C2orf49,5256.72249695097,0.121761672856326,0.0331996165700832,3.66756262378187,0.000244873588300891,0.00119968595771256,chr2,105345369,105345371
SMA5,22327.7854615839,0.14816614311323,0.0152254438197434,9.73148269878984,2.21342797868687e-22,5.63157538817498e-21,chr5_KI270897v1_alt,819587,819690
ZNF14,2641.27846824299,0.12352384677084,0.0488876048098096,2.52669050266203,0.0115142922682747,0.0362370195985316,chr19,19711352,19711354
KIF21A,10785.1070826447,0.447700254631821,0.0219538716578789,20.3927699682597,1.93853580761759e-92,2.52773885452905e-90,chr12,39294424,39294426
ZNF136,2432.24447564242,0.169638798018468,0.0510177794513917,3.32509175904245,0.000883894396386361,0.00382466238334252,chr19,12187999,12188001
UAP1L1,2098.66594823154,-0.198196722661575,0.0553463868738767,-3.58102369199322,0.000342250614186278,0.00162395401643811,chr9,137082727,137082729
TCHP,2245.91950376643,0.133836457677161,0.0545339935805148,2.45418405823448,0.0141204685942054,0.0430987338748638,chr12,109916621,109916623
TNFAIP8,1548.0770517535,-0.934643837903863,0.0704732866943666,-13.2623846814083,3.82535060433662e-40,1.75255336302057e-38,chr5,119393379,119393381
OSGEPL1,1610.28396888318,0.18947205666171,0.0657768013386741,2.8805301079654,0.00397007031987848,0.0145077131791625,chr2,189750578,189750580
CRAMP1,4480.16169417373,-0.142426840585611,0.0385708364126492,-3.69260440872634,0.00022196916355815,0.00109538712773365,chr16,1674043,1674045
WWP1,12348.5043950569,-0.151595286926966,0.0211524812367673,-7.16678507973156,7.6779422364756e-13,1.07896968568752e-11,chr8,86466891,86466893
PSMA3,8590.08662165355,-0.127874040617378,0.0254816218352027,-5.01828499945483,5.21347958576756e-07,3.94751516820736e-06,chr14,58271893,58271895
SOX12,3165.48189887762,-0.139687402099698,0.0448742000981321,-3.11286667604605,0.00185279696389007,0.00742707053718986,chr20,326870,326872
GOLGA2P7,2061.27483143784,-0.222586531724385,0.0565743363864471,-3.93440817765752,8.34019448576062e-05,0.000446335348940015,chr15,84229852,84230168
TRIM38,6097.21455639425,0.181465606458891,0.0304964670887668,5.95038126648225,2.67518580224875e-09,2.66164304213465e-08,chr6,25983685,25983687
ST8SIA4,2202.19062933384,0.196645571413168,0.0545529090309911,3.604676174124,0.000312542380587323,0.00149607738197836,chr5,100811847,100811849
