gene_id,chrom,start,end,promoter_chrom,promoter_start,promoter_end,start_distance,end_distance,overlap
SRSF5,chr14,69771459,69771461,chr14,69768092,69768093,-3367,-3368,No
PPFIBP1,chr12,27692880,27692882,chr12,27696417,27696418,3537,3536,No
PSMD8,chr19,38383388,38383390,chr19,38375855,38375856,-7533,-7534,No
CTBP1-AS,chr4,1215959,1218591,chr4,1212035,1212036,-3924,-6555,No
U2AF2,chr19,55674066,55674068,chr19,55676601,55676602,2535,2534,No
HIST1H4K,chr6,27831216,27831218,chr6,27837088,27837089,5872,5871,No
KLK2,chr19,50878404,50880567,chr19,50873243,50873244,-5161,-7323,No
HIST1H2BN,chr6,27839040,27839042,chr6,27837088,27837089,-1952,-1953,No
TMCC3,chr12,94571435,94571437,chr12,94562198,94562199,-9237,-9238,No
METTL7A,chr12,50930148,50930150,chr12,50924891,50924892,-5257,-5258,No
RPS12,chr6,132817540,132817542,chr6,132813633,132813634,-3907,-3908,No
RPS12,chr6,132817540,132817542,chr6,132813633,132813634,-3907,-3908,No
BCKDK,chr16,31112029,31112031,chr16,31118085,31118086,6056,6055,No
LOC100130872,chr4,1208576,1208962,chr4,1212035,1212036,3459,3074,No
PPAPDC2,chr9,4663261,4663263,chr9,4663572,4663573,311,310,No
