gene_id,chrom,start,end,enhancer_chrom,enhancer_start,enhancer_end,start_distance,end_distance,overlap
RPL13AP20,chr12,12875477,12876136,chr12,12872607,12872608,-2870,-3528,No
RPL13AP20,chr12,12875477,12876136,chr12,12883465,12883466,7988,7330,No
RPL13AP20,chr12,12875477,12876136,chr12,12883465,12883466,7988,7330,No
PARG,chr10,49941509,49942027,chr10,49932216,49932217,-9293,-9810,No
SCARNA21,chr17,7906123,7906260,chr17,7903854,7903855,-2269,-2405,No
MIR6076,chr14,49966399,49966511,chr14,49962023,49962024,-4376,-4487,No
CCDC149,chr4,24808389,24808391,chr4,24805311,24805312,-3078,-3079,No
AP3D1,chr19,2102173,2102175,chr19,2093506,2093507,-8667,-8668,No
LINC00667,chr18,5243594,5246506,chr18,5246348,5246349,2754,-157,Yes
AIMP2,chr7,6023689,6023691,chr7,6028804,6028805,5115,5114,No
RWDD2A,chr6,83196270,83196272,chr6,83188672,83188673,-7598,-7599,No
SNURF,chr15,24968035,24968037,chr15,24962211,24962212,-5824,-5825,No
RPSA,chr3,39412366,39412368,chr3,39419942,39419943,7576,7575,No
DPM3,chr1,155139962,155139964,chr1,155131462,155131463,-8500,-8501,No
DPM3,chr1,155139962,155139964,chr1,155131462,155131463,-8500,-8501,No
MRPL33,chr2,27779554,27779556,chr2,27781538,27781539,1984,1983,No
LINC00161,chr21,28540053,28540355,chr21,28544195,28544196,4142,3841,No
COLCA2,chr11,111308435,111308437,chr11,111305579,111305580,-2856,-2857,No
COLCA2,chr11,111308435,111308437,chr11,111305831,111305832,-2604,-2605,No
CLDN12,chr7,90413409,90413411,chr7,90411794,90411795,-1615,-1616,No
UBE4A,chr11,118396438,118396440,chr11,118397252,118397253,814,813,No
PRPF38B,chr1,108699162,108701800,chr1,108700185,108700186,1023,-1614,Yes
SNORA62,chr3,39411054,39411207,chr3,39419942,39419943,8888,8736,No
EIF2AK1,chr7,6024673,6024675,chr7,6028804,6028805,4131,4130,No
PPP4R2,chr3,73065720,73065722,chr3,73069430,73069431,3710,3709,No
CCDC174,chr3,14671192,14671194,chr3,14677264,14677265,6072,6071,No
CDKN1A,chr6,36685798,36685800,chr6,36679515,36679516,-6283,-6284,No
CHCHD4,chr3,14112887,14112889,chr3,14117987,14117988,5100,5099,No
SNRPB2,chr20,16741003,16741005,chr20,16740845,16740846,-158,-159,No
ZDHHC6,chr10,112430804,112430806,chr10,112440614,112440615,9810,9809,No
DSP,chr6,7585876,7585878,chr6,7595109,7595110,9233,9232,No
EFCAB14,chr1,46678461,46678463,chr1,46681909,46681910,3448,3447,No
UBFD1,chr16,23570588,23570590,chr16,23565100,23565101,-5488,-5489,No
FAM96B,chr16,66934257,66934423,chr16,66937350,66937351,3093,2928,No
EIF3I,chr1,32231194,32231196,chr1,32224542,32224543,-6652,-6653,No
HIST1H2AC,chr6,26124623,26124625,chr6,26131711,26131712,7088,7087,No
PRPF4B,chr6,4060614,4060616,chr6,4053232,4053233,-7382,-7383,No
