gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chrom,start,end,up_down
C1orf116,17957.78334,-1.271064868,0.017798726,-71.41324872,0.0,0.0,chr1,207021958,207021960,down
TRPM8,390.9103024,-1.68488145,0.141760324,-11.88542329,1.41e-32,5.34e-31,chr2,234014610,234014612,down
RNF138P1,2228.375951,-1.115772879,0.055909107,-19.95690744,1.31e-88,1.59e-86,chr5,55528842,55534542,down
USP43,2487.475696,-1.268549979,0.053486938,-23.71700486,2.41e-124,4.53e-122,chr17,9728988,9728990,down
TNS3,86.06515397,-1.157691058,0.308804568,-3.748944087,0.000177581,0.000894566,chr7,47278076,47278078,down
PTGER4,306.7705481,-1.252922674,0.156184773,-8.022053928,1.04e-15,1.82e-14,chr5,40692376,40692378,down
NKX3-1,41096.57892,-2.273297233,0.012762012,-178.1300061,0.0,0.0,chr8,23682904,23682921,down
LOC101927482,164.2951622,-1.430773293,0.221318819,-6.464761097,1.01e-10,1.19e-09,chr2,196263051,196264204,down
FAM110B,156.3672464,-1.678199171,0.232845676,-7.20734522,5.71e-13,8.14e-12,chr8,58147341,58147343,down
SH3D21,190.1110501,-1.018641325,0.201418665,-5.057333315,4.25e-07,3.25e-06,chr1,36321125,36321127,down
SNX15,550.4069548,12.59693062,1.44622112,8.710238326,3.03e-18,6.36e-17,chr11,65039790,65039792,up
LIMS3L,102.193999,2.997668017,0.343017473,8.739111708,2.35e-18,4.98e-17,chr2,110472597,110473075,up
TMPRSS2,29081.97156,-2.488671807,0.015439142,-161.1923622,0.0,0.0,chr21,41466142,41466144,down
RHOU,6148.240717,-1.386712588,0.032141481,-43.14401605,0.0,0.0,chr1,228743738,228743740,down
DOCK4-AS1,94.23578457,-1.048074197,0.291870968,-3.590881978,0.000329561,0.001570335,chr7,111819378,111821779,down
LOC101927078,145.8673277,-1.22503885,0.235120235,-5.210265511,1.89e-07,1.52e-06,chr5,114773335,114773413,down
FAM105A,1529.987309,-1.108632543,0.069076234,-16.04940619,5.77e-58,3.9700000000000003e-56,chr5,14610312,14610314,down
NUDT4P1,642.7769679,-5.048001232,2.03705207,-2.478091408,0.01320873,0.040682169,chr1,148748600,148752397,down
EIF3CL,1674.18219,3.049710664,1.138629415,2.678404952,0.007397372,0.024714404,chr16,28735511,28735513,up
SGK223,100.6999836,-1.759949536,0.298912956,-5.887832905,3.91e-09,3.82e-08,chr8,8318154,8318156,down
MSH5-SAPCD1,198.7177227,1.124422055,0.204965889,5.485898456,4.11e-08,3.6e-07,chr6_GL000256v2_alt,3063728,3064139,up
CTBP1-AS,1183.775042,-1.483525361,0.07862578,-18.86817977,2.08e-79,2.34e-77,chr4,1215959,1218591,down
C4orf48,98.65127751,-1.07151977,0.291249954,-3.679038416,0.000234115,0.001150302,chr4,2043924,2043926,down
