gene_id,chrom,start,end,enhancer_chrom,enhancer_start,enhancer_end,start_distance,end_distance,overlap
RPL13AP20,chr12,12875477,12876136,chr12,12872578,12872692,-2899,-3444,No
RPL13AP20,chr12,12875477,12876136,chr12,12883442,12883717,7965,7581,No
RPL13AP20,chr12,12875477,12876136,chr12,12883442,12883717,7965,7581,No
SCARNA21,chr17,7906123,7906260,chr17,7903611,7903953,-2512,-2307,No
MIR6076,chr14,49966399,49966511,chr14,49961910,49962131,-4489,-4380,No
CCDC149,chr4,24808389,24808391,chr4,24805156,24805385,-3233,-3006,No
LINC00667,chr18,5243594,5246506,chr18,5246195,5246447,2601,-59,Yes
AIMP2,chr7,6023689,6023691,chr7,6028726,6028836,5037,5145,No
RWDD2A,chr6,83196270,83196272,chr6,83188630,83188764,-7640,-7508,No
SNURF,chr15,24968035,24968037,chr15,24962143,24962252,-5892,-5785,No
DPM3,chr1,155139962,155139964,chr1,155131373,155131605,-8589,-8359,No
DPM3,chr1,155139962,155139964,chr1,155131373,155131605,-8589,-8359,No
MRPL33,chr2,27779554,27779556,chr2,27781509,27781717,1955,2161,No
LINC00161,chr21,28540053,28540355,chr21,28544108,28544224,4055,3869,No
COLCA2,chr11,111308435,111308437,chr11,111305469,111305788,-2966,-2649,No
COLCA2,chr11,111308435,111308437,chr11,111305831,111305982,-2604,-2455,No
PRPF38B,chr1,108699162,108701800,chr1,108700118,108700358,956,-1442,Yes
SNORA62,chr3,39411054,39411207,chr3,39419863,39419972,8809,8765,No
PPP4R2,chr3,73065720,73065722,chr3,73069355,73069545,3635,3823,No
CCDC174,chr3,14671192,14671194,chr3,14677161,14677343,5969,6149,No
CDKN1A,chr6,36685798,36685800,chr6,36679382,36679691,-6416,-6109,No
CHCHD4,chr3,14112887,14112889,chr3,14117919,14118098,5032,5209,No
SNRPB2,chr20,16741003,16741005,chr20,16740708,16741104,-295,99,Yes
ZDHHC6,chr10,112430804,112430806,chr10,112440517,112440654,9713,9848,No
EFCAB14,chr1,46678461,46678463,chr1,46681811,46682120,3350,3657,No
EFCAB14,chr1,46678461,46678463,chr1,46681811,46681833,3350,3370,No
FAM96B,chr16,66934257,66934423,chr16,66937180,66937531,2923,3108,No
