transcript_id,LNCaP_DHT_RNA_rep1,LNCaP_DHT_RNA_rep2,LNCaP_Veh_RNA_rep1,LNCaP_Veh_RNA_rep2
NM_001003806,0.130369,0.119515,0.091691,0.081703
NM_006737_3,0.0,0.0,0.0,0.0
NM_001253387,0.0,0.0,0.0,0.0
NM_001003805,0.120109,0.074826,0.324386,0.161027
NM_001003802,0.0,0.018516,0.064141,0.002629
NM_001003803,0.0,0.0,0.0,0.0
NM_001003800,4.043191,4.057868,4.2713,4.36098
NM_001003801,0.659347,0.574372,0.670557,0.791021
NM_006737_9,0.0,0.0,0.0,0.0
NM_025260_6,0.02016,0.0,0.010956,0.019587
NR_037860_2,0.0,0.004009,0.006655,0.006827
NM_001168531,0.015922,0.043414,0.040899,0.025492
NM_001003809,0.0,0.0,0.0,0.0
NM_001304464,7.790907,8.588963,15.109872,15.532949
NM_001304465,0.030633,0.005862,0.0,0.00219
NM_001304466,0.00256,0.004044,0.00198,0.00124
NM_001304467,2.081095,1.42121,1.8388,2.317646
NM_001304460,0.0,0.0,0.0,0.0
NM_001008781,0.000322,0.000929,0.000437,0.001875
NM_001304462,1.2e-05,0.0,0.0,0.0
NM_001304463,0.988845,1.037166,0.801417,1.300133
NM_006737_7,0.0,0.0,0.0,0.0
NR_001284_2,0.0,0.0,2.7e-05,1.7e-05
NR_001284_3,0.0,0.0,0.0,0.0
NM_001304468,2.885132,2.870745,2.939921,1.882041
NR_001284_5,0.0,0.0,4.5e-05,3.6e-05
NR_001284_6,0.0,0.0,0.0,0.0
NM_012151_3,0.215425,0.207815,0.20662,0.221493
NR_003227,0.475889,0.681538,0.704818,0.327684
NR_003226,0.524086,0.33762,0.438024,0.848365
NR_003225,0.038296,0.038196,0.0,0.030771
NM_001290300,0.0,0.0,0.0,0.004237
NM_001290307,3.433888,3.72966,2.843672,3.439003
NM_006737_5,0.0,0.0,0.0,0.0
NM_001278268,0.0,0.0,0.0,0.0
NR_131066,0.0,0.0,0.0,0.0
NM_001278266,0.009127,0.038398,0.0,0.0
NM_001278267,0.733893,0.700955,0.630346,0.652503
NM_001278264,0.009974,0.011176,0.004461,0.013802
NM_001278265,0.007486,0.003025,0.00599,0.0
NM_001278262,0.0,0.000431,0.0,0.01251
NM_001278263,0.004212,0.004446,0.004755,0.004844
NM_001278260,0.015446,0.054589,0.063803,0.0
NM_001278261,0.276958,0.171061,0.032743,0.017859
NR_027932,0.0,0.0,0.0,0.0
NM_001469,84.453186,86.519974,90.469398,85.896271
NM_001466,0.165416,0.146978,0.154714,0.164266
NM_001467,5.07577,3.661701,0.659947,3.348478
NM_001464,0.702815,0.692853,0.904676,0.781171
NM_001465,0.0,0.0,0.004278,0.0
NM_001462,0.0,0.0,0.0,0.0
NM_001463,0.019704,0.014653,0.0,0.006449
NM_001460,0.006544,0.012301,0.008902,0.016015
NM_001461,1.693126,1.634505,1.753376,1.755855
NM_001276394,0.0,0.0,0.0,0.0
NM_007102,0.0,0.0,0.0,0.0
NM_001164246,0.532548,0.397408,0.445559,0.354043
NM_007100,132.543503,132.76944,131.676056,135.891647
NM_000335,0.0,0.0,0.0,0.0
NM_007106,7.194926,7.259596,6.888589,7.135519
NM_001276392,0.0,0.0,0.140358,0.0
NM_001276393,0.188657,0.0,0.115898,0.0
NM_000339,0.0,0.010152,0.007848,0.021548
NM_000338,0.0,0.0,0.0,0.0
NM_007109,0.546425,0.380529,0.362923,0.384948
NM_007108,37.144608,37.074936,36.042797,36.779766
NR_133003,0.0,0.0,0.0,0.0
NR_133002,0.0,0.0,0.0,0.0
NM_001012969,2.313033,2.371005,1.978145,1.849684
NR_133000,0.0,0.049257,0.099688,0.09476
NR_133007,0.260802,0.098555,0.11857,0.064122
NR_133006,0.248672,0.266444,0.175866,0.192271
NR_133005,0.021688,0.0,0.0,0.0
NR_133004,0.0,0.0,0.0,0.0
NR_133009,0.02106,0.095497,0.021662,0.0
NR_133008,0.0,0.139177,0.0,0.0
NM_001012967,0.62768,0.653227,0.603942,0.540699
NM_001012965,0.0,0.0,0.0,0.0
NM_001012964,0.0,0.0,0.0,0.0
NM_003824,12.133702,12.006096,12.97562,12.782302
NM_003825,18.824299,18.56953,19.666122,19.441231
NM_003826,17.050074,17.684967,16.311182,16.332466
NM_003827,15.77624,15.244234,14.399215,15.020007
NM_003820,0.157558,0.149778,0.125766,0.118695
NM_003821,4.889817,5.027219,4.351284,4.186593
NM_003822,0.0,0.0,0.0,0.0
NM_003823,0.243395,0.313219,0.199785,0.0
NM_001134336,0.240018,0.040093,0.76165,0.0
NM_003828,2.517273,1.578523,1.914381,1.596798
NM_003829,2.896817,2.338509,2.525936,1.081109
NM_001256296,0.0,0.0,0.0,0.0
NR_046834,0.033741,0.030251,0.015876,0.015585
NR_046837,0.220854,0.192065,0.183672,0.152303
NR_046836,0.0,0.0,0.08635,0.0
NM_001025780,6.76465,6.694664,5.518524,4.580029
NR_046832,0.0,0.0,0.0,0.0
NR_046839,0.038811,0.005553,0.0,0.0
NM_001304461,0.0,0.0,0.0,0.0
NM_024034,0.0,0.0,0.0,0.0
NM_018301,13.73631,13.78928,14.175768,13.652965
NM_024036,1.53241,1.347467,1.054647,1.19466
NM_024037,1.096773,1.1222,1.191402,1.272049
NM_001164796,1.679384,1.479096,0.81959,2.704317
NM_024031,1.319174,1.235424,1.092362,1.142195
NM_024032,0.201075,0.163934,0.186904,0.178097
NM_001312673,27.141676,26.415445,28.030159,27.754696
NM_001008783,0.0,0.0,0.0,0.0
NM_024038,99.768578,98.576859,89.404732,88.65905
NM_024039,4.204291,5.322522,4.633918,4.525461
NM_015550,0.837283,1.022297,0.282196,1.053623
NM_001271099_2,0.26303,0.233685,0.136321,0.17728
NM_015556,0.006034,0.016211,0.000277,0.000261
NM_001297658,1.360657,0.929192,0.826226,0.962633
NM_001297659,1.133451,0.929161,1.274187,1.189119
NM_001297654,0.030511,0.00934,0.161711,0.024695
NM_001297655,1.422005,2.996284,3.659177,3.804967
NM_001297656,0.013697,0.018004,0.005926,0.029123
NM_001297657,0.0,0.0,0.0,0.0
NM_001297650,0.186321,0.197777,0.2197,0.19963
NM_001297651,1.652716,4.083709,3.40393,0.943317
NM_001297652,0.024103,0.269284,0.153559,0.161536
NM_001297653,0.025319,0.006906,0.155923,0.013733
NM_001301191,0.0,0.0,0.0,0.0
NR_121649,0.010008,0.01994,0.017633,0.025354
NM_012151_2,0.274433,0.23056,0.210214,0.226167
NM_001278536,0.098671,0.102447,0.091194,0.076291
NM_001100598_2,0.014051,0.017981,0.122897,0.0
NM_001012337,0.156699,0.185862,0.240825,0.100703
NR_104095,0.0,0.0,0.0,0.0
NR_027383_2,2.382999,1.219467,2.093066,1.11663
NM_001031732_2,2.423395,5.679654,6.264588,2.613597
NM_001300819,1.625917,1.838276,0.0,0.0
NM_001170701,0.027693,0.0,0.002098,0.168061
NM_001145064,2.390364,2.421548,2.321932,2.278616
NM_001011724,5.452546,5.773841,5.835547,5.492567
NM_001011725,6.045044,5.845294,4.532241,5.025934
NM_006270,2.132388,2.056209,1.778003,2.160025
NM_006271,0.344512,0.314696,0.362156,0.380842
NM_001011720,1.46483,1.569355,1.49305,1.453606
NM_006277,0.0,0.000982,0.000889,7.963796
NM_001011722,1.290189,0.043688,0.072248,0.085219
NM_006275,41.008556,41.107937,31.814203,33.086666
NR_034063,0.0,0.0,0.0,0.0
NM_001002031,0.788019,0.930205,2.173615,0.793552
NR_034061,0.0,0.0,0.0,0.0
NM_006279,0.593027,0.437862,0.653507,0.864789
NR_034067,0.0,0.0,0.0,0.0
NM_001002035,0.0,0.0,0.0,0.0
NR_034065,0.0,0.0,0.0,0.0
NM_001172626,0.0,0.0,0.0,0.0
NM_133374,3.473762,3.368907,3.107407,3.074067
NR_121641,0.0,0.0,0.0,0.0
NM_001300818,0.20471,0.218064,0.0,0.0
NR_003221,0.0,0.0,0.0,0.0
NR_003220,0.0,0.0,0.0,0.0
NR_033194,13.738261,10.668018,12.417665,12.711946
NR_031653,0.0,0.0,0.0,0.0
NR_031652,0.0,0.0,0.0,0.0
NR_031651,0.0,0.0,0.071217,0.303978
NM_001291556,0.035874,0.001613,0.014156,0.008639
NR_031657,0.0,0.0,0.0,0.0
NR_031656,2.930538,2.693275,2.056204,1.895362
NR_031655,2.209778,2.200755,1.346881,1.301626
NR_031654,0.0,0.0,0.0,0.0
NM_032961,0.0,0.0,0.0,0.002606
NM_032960,15.191728,15.571647,14.655482,14.506429
NM_032963,0.0,0.0,0.0,0.0
NM_001199654,2.374745,2.436303,2.371209,2.06458
NM_001199653,9.165224,11.503544,9.333663,8.918719
NM_001290309,0.310456,0.30337,0.46644,0.435681
NM_032966,0.069615,0.05419,0.059621,0.049991
NR_023378_8,0.0,0.0,0.0,0.0
NR_030527,0.468969,0.407781,0.495707,0.493871
NR_023378_4,0.0,0.0,0.0,0.0
NR_023378_5,0.0,0.0,0.0,0.0
NR_023378_6,0.0,0.0,0.0,0.0
NR_023378_7,0.0,0.0,0.0,0.0
NR_023378_2,0.0,0.0,0.0,0.0
NR_023378_3,0.0,0.0,0.0,0.0
NM_003176,0.0,0.0,0.0,0.0
NM_003177,0.005724,0.01644,0.007901,0.013993
NM_003174,6.777681,6.575252,7.520077,7.451583
NM_003175,0.0,0.0,0.0,0.0
NM_003172,6.067372,6.766518,6.389175,3.211707
NM_003173,1.671624,1.612381,1.536857,1.534223
NM_003170,27.240721,27.172974,26.796333,27.140108
NM_003171,11.686259,12.017832,12.108585,11.457205
NM_001128846,0.735031,1.885306,0.590569,0.638971
NM_001128847,0.242454,0.635172,0.069899,0.11273
NM_001128844,18.015078,18.304148,17.116179,18.340988
