gene_id,0,3,4,6
"""A1BG""",chr19,58346806,58353499,-
"""A1BG-AS1""",chr19,58351970,58355183,+
"""A1CF""",chr10,50799409,50885675,-
"""A2M""",chr12,9067708,9115962,-
"""A2M-AS1""",chr12,9065177,9068055,+
"""A2ML1""",chr12,8822472,8876781,+
"""A2MP1""",chr12,9228533,9234207,-
"""A3GALT2""",chr1,33306766,33321098,-
"""A4GALT""",chr22,42692121,42720870,-
"""A4GNT""",chr3,138123718,138132387,-
"""AA06""",chr17,33529787,33533760,-
"""AAAS""",chr12,53307456,53321628,-
"""AACS""",chr12,125065379,125143325,+
"""AACSP1""",chr5,178764861,178776276,-
"""AADAC""",chr3,151814073,151828488,+
"""AADACL2""",chr3,155089,151757768,+
"""AADACL2-AS1""",chr3,172352,151928175,-
"""AADACL3""",chr1,12716115,12728759,+
"""AADACL4""",chr1,12644547,12667086,+
"""AADACP1""",chr3,151770456,151784894,+
"""AADAT""",chr4,170060222,170090387,-
"""AAED1""",chr9,96641251,96655317,-
"""AAGAB""",chr15,67200675,67255198,-
"""AAK1""",chr2,69457995,69643845,-
"""AAMDC""",chr11,77821162,77872352,+
"""AAMP""",chr2,218264129,218270209,-
"""AANAT""",chr17,76453351,76470117,+
"""AAR2""",chr20,36236417,36256941,+
"""AARD""",chr8,116938225,116944000,+
"""AARS""",chr16,70252394,70289509,-
"""AARS2""",chr6,44298726,44313326,-
"""AARSD1""",chr17,42950526,42964498,-
"""AASDH""",chr4,56338285,56387508,-
"""AASDHPPT""",chr11,106077565,106098692,+
"""AASS""",chr7,122073544,122144290,-
"""AATBC""",chr21,43805758,43812567,-
"""AATF""",chr17,1185240,37056871,+
"""AATK""",chr17,81117296,81166072,-
"""AATK-AS1""",chr17,81165507,81183164,+
"""ABALON""",chr20,31721507,31723409,+
"""ABAT""",chr16,8674587,8784575,+
"""ABCA1""",chr9,104781003,104928246,-
"""ABCA10""",chr17,69148007,69244815,-
"""ABCA11P""",chr4,425435,474209,-
"""ABCA12""",chr2,214931542,215138428,-
"""ABCA13""",chr7,48171460,48647495,+
"""ABCA17P""",chr16,2340922,2426699,+
"""ABCA2""",chr9,137007234,137028922,-
"""ABCA3""",chr16,2275878,2340746,-
"""ABCA4""",chr1,93992838,94121149,-
"""ABCA5""",chr17,69244435,69327182,-
"""ABCA6""",chr17,69078706,69141874,-
"""ABCA7""",chr19,1040103,1065571,+
"""ABCA8""",chr17,68867287,68955392,-
"""ABCA9""",chr17,68974632,69060995,-
